WARNING: Interface fennol is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
001-CA2 / 5NXG                            -157.610  -211.986    54.376    25.651
001-CA2 / 5NXI                            -170.236  -212.762    42.526    19.988
001-CA2 / 5NXO                            -161.523  -207.567    46.044    22.183
001-CA2 / 5NXP                            -170.645  -220.995    50.350    22.783
001-CA2 / 5NXV                            -158.544  -209.193    50.650    24.212
001-CA2 / 5NXW                            -156.504  -209.313    52.809    25.230
001-CA2 / 5NY1                            -169.055  -211.771    42.716    20.171
001-CA2 / 5NY3                            -162.704  -209.831    47.126    22.459
001-CA2 / 5NY6                            -182.328  -215.493    33.165    15.390
001-CA2 / 5NYA                            -168.188  -201.861    33.673    16.681
002-HIV-PR / 1HSG                         -186.445  -159.436   -27.009   -16.941
002-HIV-PR / 1HXW                         -162.108  -164.946     2.838     1.721
002-HIV-PR / 1IZH                         -185.677  -185.506    -0.171    -0.092
002-HIV-PR / 1T3R                         -139.389  -142.718     3.328     2.332
002-HIV-PR / 2Q54                         -145.913  -148.952     3.038     2.040
002-HIV-PR / 2Q55                         -158.345  -158.114    -0.231    -0.146
002-HIV-PR / 2Q5K                         -157.553  -154.373    -3.180    -2.060
002-HIV-PR / 3EKX                         -171.172  -147.017   -24.155   -16.430
002-HIV-PR / 3EL1                         -172.193  -172.163    -0.030    -0.018
002-HIV-PR / 3NU3                         -132.703  -134.550     1.846     1.372
002-HIV-PR / 3OXC                         -195.324  -168.252   -27.072   -16.090
002-HIV-PR / 5HVP                         -174.082  -177.938     3.856     2.167
002-HIV-PR / model13a                     -153.774  -156.858     3.084     1.966
002-HIV-PR / model13c                     -146.204  -149.031     2.827     1.897
002-HIV-PR / model13d                     -148.049  -150.288     2.239     1.490
002-HIV-PR / model16a                     -145.772  -148.081     2.309     1.559
002-HIV-PR / model16e                     -138.088  -141.468     3.379     2.389
002-HIV-PR / model16f                     -147.908  -150.523     2.615     1.737
002-HIV-PR / model22a                     -146.347  -147.097     0.749     0.509
002-HIV-PR / model22d                     -151.574  -151.568    -0.006    -0.004
002-HIV-PR / model23a                     -136.527  -140.381     3.854     2.745
002-HIV-PR / model25d                     -143.469  -147.422     3.952     2.681
003-CK2 / 1F0Q                             -36.747   -41.139     4.392    10.677
003-CK2 / 1J91                             -33.771   -38.947     5.176    13.289
003-CK2 / 1M2P                             -47.028   -45.809    -1.220    -2.663
003-CK2 / 1M2Q                             -49.572   -49.296    -0.276    -0.560
003-CK2 / 1M2R                             -43.265   -51.230     7.964    15.547
003-CK2 / 1ZOE                             -39.506   -45.791     6.285    13.726
003-CK2 / 1ZOG                             -37.788   -42.556     4.768    11.204
003-CK2 / 1ZOH                             -42.857   -51.919     9.062    17.454
003-CK2 / 2OXD                             -29.472   -38.405     8.933    23.260
003-CK2 / 2OXX                             -33.837   -42.194     8.357    19.806
003-CK2 / 2OXY                             -28.808   -36.497     7.689    21.068
003-CK2 / 3KXG                             -35.757   -42.526     6.769    15.918
003-CK2 / 3KXH                            -107.635  -134.643    27.008    20.059
003-CK2 / 3KXM                             -53.512   -58.057     4.545     7.828
003-CK2 / 3KXN                             -44.897   -35.022    -9.875   -28.198
003-CK2 / 3PVG                             -70.573   -75.017     4.443     5.923
004-AR / 1US0                             -110.250  -116.681     6.431     5.512
004-AR / 2IKG                             -131.722  -135.387     3.664     2.707
004-AR / 2IKH                             -123.382  -121.544    -1.838    -1.513
004-AR / 2IKI                             -115.935  -122.467     6.532     5.334
004-AR / 2IKJ                             -120.870  -125.206     4.335     3.462
004-AR / 4LAU                             -118.080  -123.618     5.538     4.480
004-AR / 4LAZ                             -118.277  -129.806    11.528     8.881
004-AR / 4LB3                             -117.981  -130.783    12.802     9.789
004-AR / 4LB4                             -116.930  -126.052     9.123     7.237
004-AR / 4LBR                             -117.896  -133.005    15.109    11.360
004-AR / 4LBS                             -117.389  -126.029     8.639     6.855
004-AR / 4QXI                             -125.845  -134.458     8.613     6.406
004-AR / 4XZH                             -124.968  -127.370     2.401     1.885
004-AR / 4XZI                             -113.239  -124.183    10.944     8.813
005-Cath-D / 6QBG                         -138.007  -141.732     3.725     2.628
005-Cath-D / 6QBH                         -132.943  -134.751     1.808     1.342
005-Cath-D / 6QCB                         -136.204  -138.797     2.592     1.868
005-Cath-D / model08                      -132.147  -134.845     2.698     2.001
005-Cath-D / model22                      -138.831  -139.915     1.084     0.775
005-Cath-D / model24                      -131.134  -133.666     2.532     1.894
005-Cath-D / model25                      -145.372  -149.974     4.602     3.068
005-Cath-D / model31                      -135.407  -136.938     1.531     1.118
005-Cath-D / model35                      -134.855  -137.815     2.959     2.147
005-Cath-D / model36                      -110.366  -112.987     2.621     2.320
006-BACE1 / 5QCO                          -146.047   -52.470   -93.578  -178.346
006-BACE1 / 5QCP                          -145.979   -53.010   -92.969  -175.378
006-BACE1 / 5QCR                          -126.993  -132.453     5.460     4.122
006-BACE1 / 5QCT                          -133.717  -138.476     4.759     3.437
006-BACE1 / 5QCU                          -121.996  -134.121    12.125     9.040
006-BACE1 / 5QCV                          -137.119   -43.669   -93.450  -213.997
006-BACE1 / 5QCX                          -141.547   -47.485   -94.062  -198.087
006-BACE1 / 5QCY                          -157.715   -63.325   -94.390  -149.057
