WARNING: Interface fennol is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
001-CA2 / 5NXG                            -187.520  -211.986    24.466    11.541
001-CA2 / 5NXI                            -197.018  -212.762    15.744     7.400
001-CA2 / 5NXO                            -185.842  -207.567    21.725    10.466
001-CA2 / 5NXP                            -196.953  -220.995    24.042    10.879
001-CA2 / 5NXV                            -193.158  -209.193    16.036     7.665
001-CA2 / 5NXW                            -184.975  -209.313    24.337    11.627
001-CA2 / 5NY1                            -197.375  -211.771    14.396     6.798
001-CA2 / 5NY3                            -191.908  -209.831    17.923     8.542
001-CA2 / 5NY6                            -210.577  -215.493     4.916     2.281
001-CA2 / 5NYA                            -191.472  -201.861    10.388     5.146
002-HIV-PR / 1HSG                         -177.475  -159.436   -18.039   -11.315
002-HIV-PR / 1HXW                         -141.290  -164.946    23.656    14.342
002-HIV-PR / 1IZH                         -167.343  -185.506    18.162     9.791
002-HIV-PR / 1T3R                         -123.770  -142.718    18.947    13.276
002-HIV-PR / 2Q54                         -127.501  -148.952    21.451    14.401
002-HIV-PR / 2Q55                         -138.168  -158.114    19.946    12.615
002-HIV-PR / 2Q5K                         -139.270  -154.373    15.103     9.783
002-HIV-PR / 3EKX                         -166.483  -147.017   -19.466   -13.240
002-HIV-PR / 3EL1                         -151.133  -172.163    21.030    12.215
002-HIV-PR / 3NU3                         -117.022  -134.550    17.528    13.027
002-HIV-PR / 3OXC                         -190.530  -168.252   -22.278   -13.241
002-HIV-PR / 5HVP                         -159.665  -177.938    18.273    10.269
002-HIV-PR / model13a                     -134.107  -156.858    22.751    14.504
002-HIV-PR / model13c                     -128.022  -149.031    21.010    14.097
002-HIV-PR / model13d                     -128.746  -150.288    21.542    14.334
002-HIV-PR / model16a                     -126.420  -148.081    21.661    14.628
002-HIV-PR / model16e                     -120.330  -141.468    21.138    14.942
002-HIV-PR / model16f                     -129.741  -150.523    20.782    13.807
002-HIV-PR / model22a                     -126.575  -147.097    20.522    13.951
002-HIV-PR / model22d                     -131.562  -151.568    20.006    13.200
002-HIV-PR / model23a                     -117.891  -140.381    22.490    16.021
002-HIV-PR / model25d                     -123.074  -147.422    24.347    16.515
003-CK2 / 1F0Q                             -30.498   -41.139    10.641    25.866
003-CK2 / 1J91                             -27.988   -38.947    10.959    28.137
003-CK2 / 1M2P                             -40.477   -45.809     5.331    11.638
003-CK2 / 1M2Q                             -40.708   -49.296     8.588    17.422
003-CK2 / 1M2R                             -38.790   -51.230    12.440    24.282
003-CK2 / 1ZOE                             -29.216   -45.791    16.575    36.198
003-CK2 / 1ZOG                             -24.540   -42.556    18.016    42.335
003-CK2 / 1ZOH                             -31.884   -51.919    20.035    38.588
003-CK2 / 2OXD                             -20.496   -38.405    17.909    46.633
003-CK2 / 2OXX                             -24.260   -42.194    17.933    42.502
003-CK2 / 2OXY                             -19.553   -36.497    16.944    46.426
003-CK2 / 3KXG                             -24.852   -42.526    17.674    41.560
003-CK2 / 3KXH                             -89.898  -134.643    44.746    33.233
003-CK2 / 3KXM                             -40.742   -58.057    17.315    29.823
003-CK2 / 3KXN                             -30.991   -35.022     4.031    11.510
003-CK2 / 3PVG                             -61.484   -75.017    13.532    18.039
004-AR / 1US0                              -95.760  -116.681    20.920    17.930
004-AR / 2IKG                             -114.556  -135.387    20.831    15.387
004-AR / 2IKH                             -104.424  -121.544    17.120    14.085
004-AR / 2IKI                             -100.724  -122.467    21.743    17.755
004-AR / 2IKJ                             -106.828  -125.206    18.378    14.678
004-AR / 4LAU                             -103.328  -123.618    20.290    16.414
004-AR / 4LAZ                             -103.681  -129.806    26.125    20.126
004-AR / 4LB3                             -102.989  -130.783    27.795    21.252
004-AR / 4LB4                             -100.811  -126.052    25.241    20.024
004-AR / 4LBR                             -102.157  -133.005    30.848    23.193
004-AR / 4LBS                             -101.274  -126.029    24.755    19.642
004-AR / 4QXI                             -109.776  -134.458    24.682    18.357
004-AR / 4XZH                             -108.900  -127.370    18.469    14.501
004-AR / 4XZI                             -102.553  -124.183    21.630    17.417
005-Cath-D / 6QBG                         -124.913  -141.732    16.819    11.867
005-Cath-D / 6QBH                         -119.211  -134.751    15.540    11.533
005-Cath-D / 6QCB                         -123.126  -138.797    15.671    11.290
005-Cath-D / model08                      -120.165  -134.845    14.680    10.887
005-Cath-D / model22                      -125.866  -139.915    14.050    10.042
005-Cath-D / model24                      -118.157  -133.666    15.509    11.603
005-Cath-D / model25                      -130.803  -149.974    19.171    12.783
005-Cath-D / model31                      -122.508  -136.938    14.429    10.537
005-Cath-D / model35                      -121.385  -137.815    16.430    11.921
005-Cath-D / model36                       -96.843  -112.987    16.145    14.289
006-BACE1 / 5QCO                          -138.455   -52.470   -85.985  -163.877
006-BACE1 / 5QCP                          -136.244   -53.010   -83.234  -157.014
006-BACE1 / 5QCR                          -118.385  -132.453    14.068    10.621
006-BACE1 / 5QCT                          -127.709  -138.476    10.766     7.775
006-BACE1 / 5QCU                          -116.886  -134.121    17.235    12.850
006-BACE1 / 5QCV                          -129.901   -43.669   -86.232  -197.468
006-BACE1 / 5QCX                          -133.268   -47.485   -85.783  -180.652
006-BACE1 / 5QCY                          -147.770   -63.325   -84.446  -133.354
006-BACE1 / 5QCZ                          -127.788   -42.338   -85.450  -201.827
006-BACE1 / 5QD0                          -134.770   -51.837   -82.933  -159.986
006-BACE1 / 5QD1                          -129.179   -45.141   -84.038  -186.169
006-BACE1 / 5QD2                          -125.797   -47.054   -78.743  -167.345
006-BACE1 / 5QD3                          -131.753   -45.228   -86.526  -191.310
006-BACE1 / 5QD5                          -128.099   -48.822   -79.277  -162.379
006-BACE1 / 5QD9                          -139.217   -56.152   -83.065  -147.929
006-BACE1 / 5QDA                          -125.438   -46.774   -78.664  -168.177
