WARNING: Interface orbital is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
001-CA2 / 5NXG                            -246.730  -211.986   -34.744   -16.390
001-CA2 / 5NXI                            -243.037  -212.762   -30.275   -14.229
001-CA2 / 5NXO                            -244.298  -207.567   -36.731   -17.696
001-CA2 / 5NXP                            -257.449  -220.995   -36.454   -16.495
001-CA2 / 5NXV                            -238.983  -209.193   -29.790   -14.240
001-CA2 / 5NXW                            -246.009  -209.313   -36.696   -17.532
001-CA2 / 5NY1                            -240.694  -211.771   -28.924   -13.658
001-CA2 / 5NY3                            -240.785  -209.831   -30.954   -14.752
001-CA2 / 5NY6                            -209.347  -215.493     6.146     2.852
001-CA2 / 5NYA                            -248.081  -201.861   -46.220   -22.897
002-HIV-PR / 1HSG                         -181.151  -159.436   -21.716   -13.620
002-HIV-PR / 1HXW                         -177.278  -164.946   -12.332    -7.476
002-HIV-PR / 1IZH                         -209.527  -185.506   -24.021   -12.949
002-HIV-PR / 1T3R                         -150.524  -142.718    -7.806    -5.470
002-HIV-PR / 2Q54                         -168.540  -148.952   -19.589   -13.151
002-HIV-PR / 2Q55                         -183.944  -158.114   -25.830   -16.336
002-HIV-PR / 2Q5K                         -171.693  -154.373   -17.320   -11.220
002-HIV-PR / 3EKX                         -156.560  -147.017    -9.543    -6.491
002-HIV-PR / 3EL1                         -197.096  -172.163   -24.933   -14.482
002-HIV-PR / 3NU3                         -146.290  -134.550   -11.741    -8.726
002-HIV-PR / 3OXC                         -190.880  -168.252   -22.628   -13.449
002-HIV-PR / 5HVP                         -199.708  -177.938   -21.770   -12.234
002-HIV-PR / model13a                     -177.458  -156.858   -20.600   -13.133
002-HIV-PR / model13c                     -169.711  -149.031   -20.680   -13.876
002-HIV-PR / model13d                     -166.288  -150.288   -16.000   -10.647
002-HIV-PR / model16a                     -168.991  -148.081   -20.910   -14.120
002-HIV-PR / model16e                     -159.712  -141.468   -18.245   -12.897
002-HIV-PR / model16f                     -170.342  -150.523   -19.819   -13.167
002-HIV-PR / model22a                     -160.073  -147.097   -12.976    -8.821
002-HIV-PR / model22d                     -165.568  -151.568   -13.999    -9.236
002-HIV-PR / model23a                     -153.227  -140.381   -12.845    -9.150
002-HIV-PR / model25d                     -156.650  -147.422    -9.228    -6.260
003-CK2 / 1F0Q                             -31.348   -41.139     9.791    23.800
003-CK2 / 1J91                             -25.943   -38.947    13.004    33.389
003-CK2 / 1M2P                             -38.059   -45.809     7.750    16.918
003-CK2 / 1M2Q                             -33.150   -49.296    16.146    32.754
003-CK2 / 1M2R                             -39.050   -51.230    12.180    23.775
003-CK2 / 1ZOE                             -43.959   -45.791     1.832     4.000
003-CK2 / 1ZOG                             -42.518   -42.556     0.038     0.089
003-CK2 / 1ZOH                             -43.239   -51.919     8.681    16.720
003-CK2 / 2OXD                             -32.429   -38.405     5.976    15.561
003-CK2 / 2OXX                             -43.239   -42.194    -1.045    -2.476
003-CK2 / 2OXY                             -39.635   -36.497    -3.138    -8.599
003-CK2 / 3KXG                             -31.708   -42.526    10.818    25.438
003-CK2 / 3KXH                            -131.878  -134.643     2.766     2.054
003-CK2 / 3KXM                             -77.109   -58.057   -19.052   -32.816
003-CK2 / 3KXN                             -50.895   -35.022   -15.873   -45.325
003-CK2 / 3PVG                             -53.328   -75.017    21.689    28.913
004-AR / 1US0                             -118.726  -116.681    -2.045    -1.753
004-AR / 2IKG                             -145.209  -135.387    -9.823    -7.255
004-AR / 2IKH                             -132.328  -121.544   -10.784    -8.873
004-AR / 2IKI                             -123.950  -122.467    -1.483    -1.211
004-AR / 2IKJ                             -129.535  -125.206    -4.330    -3.458
004-AR / 4LAU                             -124.131  -123.618    -0.513    -0.415
004-AR / 4LAZ                             -125.212  -129.806     4.594     3.539
004-AR / 4LB3                             -127.914  -130.783     2.869     2.194
004-AR / 4LB4                             -130.436  -126.052    -4.384    -3.478
004-AR / 4LBR                             -130.616  -133.005     2.389     1.796
004-AR / 4LBS                             -128.635  -126.029    -2.606    -2.068
004-AR / 4QXI                             -133.409  -134.458     1.049     0.780
004-AR / 4XZH                             -131.337  -127.370    -3.967    -3.115
004-AR / 4XZI                             -113.861  -124.183    10.321     8.311
005-Cath-D / 6QBG                         -107.556  -141.732    34.176    24.113
005-Cath-D / 6QBH                         -102.421  -134.751    32.330    23.992
005-Cath-D / 6QCB                         -105.484  -138.797    33.313    24.001
005-Cath-D / model08                      -102.962  -134.845    31.883    23.644
005-Cath-D / model22                      -108.006  -139.915    31.909    22.806
005-Cath-D / model24                      -102.601  -133.666    31.064    23.240
005-Cath-D / model25                      -116.564  -149.974    33.410    22.277
005-Cath-D / model31                      -105.754  -136.938    31.183    22.772
005-Cath-D / model35                      -110.709  -137.815    27.106    19.668
005-Cath-D / model36                       -79.090  -112.987    33.897    30.001
006-BACE1 / 5QCO                           236.010   -52.470   288.480   549.804
006-BACE1 / 5QCP                           217.544   -53.010   270.554   510.379
006-BACE1 / 5QCR                           -99.539  -132.453    32.914    24.850
006-BACE1 / 5QCT                           -97.467  -138.476    41.009    29.614
006-BACE1 / 5QCU                          -108.457  -134.121    25.664    19.135
006-BACE1 / 5QCV                           250.693   -43.669   294.362   674.078
006-BACE1 / 5QCX                           249.162   -47.485   296.647   624.716
006-BACE1 / 5QCY                           175.206   -63.325   238.531   376.679
006-BACE1 / 5QCZ                           212.499   -42.338   254.837   601.910
006-BACE1 / 5QD0                           217.994   -51.837   269.832   520.534
006-BACE1 / 5QD1                           230.155   -45.141   275.296   609.859
006-BACE1 / 5QD2                           220.246   -47.054   267.300   568.072
006-BACE1 / 5QD3                           236.281   -45.228   281.508   622.422
006-BACE1 / 5QD5                           199.348   -48.822   248.170   508.314
006-BACE1 / 5QD9                           267.178   -56.152   323.330   575.812
006-BACE1 / 5QDA                           212.589   -46.774   259.364   554.500
007-JAK1 / 4E4L                            -90.531   -85.629    -4.902    -5.724
007-JAK1 / 4E4N                            -93.008   -90.019    -2.988    -3.320
007-JAK1 / 4E5W                           -163.586  -112.641   -50.944   -45.227
007-JAK1 / 4EHZ                           -179.485  -146.744   -32.741   -22.312
007-JAK1 / 4EI4                            -85.441   -81.834    -3.607    -4.407
007-JAK1 / 4FK6                           -103.052  -104.602     1.551     1.482
007-JAK1 / 4I5C                            -93.053   -88.563    -4.490    -5.070
007-JAK1 / 4IVB                            -88.684   -87.282    -1.402    -1.607
007-JAK1 / 4IVC                           -106.295  -104.103    -2.192    -2.106
007-JAK1 / 4IVD                           -109.853  -107.100    -2.753    -2.570
