WARNING: Interface fairchem is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
001-CA2 / 5NXG                            -219.209  -211.986    -7.223    -3.407
001-CA2 / 5NXI                            -219.704  -212.762    -6.942    -3.263
001-CA2 / 5NXO                            -215.273  -207.567    -7.706    -3.713
001-CA2 / 5NXP                            -228.806  -220.995    -7.811    -3.534
001-CA2 / 5NXV                            -215.539  -209.193    -6.346    -3.033
001-CA2 / 5NXW                            -216.176  -209.313    -6.863    -3.279
001-CA2 / 5NY1                            -219.031  -211.771    -7.260    -3.428
001-CA2 / 5NY3                            -219.072  -209.831    -9.241    -4.404
001-CA2 / 5NY6                            -228.759  -215.493   -13.266    -6.156
001-CA2 / 5NYA                            -209.200  -201.861    -7.339    -3.636
002-HIV-PR / 1HSG                         -177.458  -159.436   -18.023   -11.304
002-HIV-PR / 1HXW                         -190.201  -164.946   -25.255   -15.311
002-HIV-PR / 1IZH                         -209.819  -185.506   -24.313   -13.106
002-HIV-PR / 1T3R                         -164.955  -142.718   -22.237   -15.581
002-HIV-PR / 2Q54                         -172.149  -148.952   -23.197   -15.574
002-HIV-PR / 2Q55                         -184.943  -158.114   -26.828   -16.968
002-HIV-PR / 2Q5K                         -182.823  -154.373   -28.451   -18.430
002-HIV-PR / 3EKX                         -162.613  -147.017   -15.596   -10.608
002-HIV-PR / 3EL1                         -201.572  -172.163   -29.410   -17.083
002-HIV-PR / 3NU3                         -155.828  -134.550   -21.278   -15.814
002-HIV-PR / 3OXC                         -190.776  -168.252   -22.524   -13.387
002-HIV-PR / 5HVP                         -200.210  -177.938   -22.272   -12.517
002-HIV-PR / model13a                     -181.351  -156.858   -24.493   -15.615
002-HIV-PR / model13c                     -172.258  -149.031   -23.227   -15.585
002-HIV-PR / model13d                     -173.571  -150.288   -23.283   -15.492
002-HIV-PR / model16a                     -173.715  -148.081   -25.634   -17.311
002-HIV-PR / model16e                     -165.221  -141.468   -23.753   -16.790
002-HIV-PR / model16f                     -174.885  -150.523   -24.362   -16.185
002-HIV-PR / model22a                     -171.491  -147.097   -24.395   -16.584
002-HIV-PR / model22d                     -178.471  -151.568   -26.902   -17.749
002-HIV-PR / model23a                     -161.181  -140.381   -20.800   -14.817
002-HIV-PR / model25d                     -169.929  -147.422   -22.507   -15.267
003-CK2 / 1F0Q                             -60.027   -41.139   -18.887   -45.911
003-CK2 / 1J91                             -53.865   -38.947   -14.918   -38.302
003-CK2 / 1M2P                             -58.097   -45.809   -12.288   -26.825
003-CK2 / 1M2Q                             -59.964   -49.296   -10.668   -21.641
003-CK2 / 1M2R                             -66.100   -51.230   -14.870   -29.026
003-CK2 / 1ZOE                             -63.926   -45.791   -18.134   -39.603
003-CK2 / 1ZOG                             -58.385   -42.556   -15.829   -37.196
003-CK2 / 1ZOH                             -69.583   -51.919   -17.664   -34.022
003-CK2 / 2OXD                             -56.358   -38.405   -17.952   -46.745
003-CK2 / 2OXX                             -58.728   -42.194   -16.534   -39.187
003-CK2 / 2OXY                             -54.075   -36.497   -17.579   -48.164
003-CK2 / 3KXG                             -59.995   -42.526   -17.468   -41.077
003-CK2 / 3KXH                            -162.066  -134.643   -27.423   -20.367
003-CK2 / 3KXM                             -71.653   -58.057   -13.596   -23.419
003-CK2 / 3KXN                             -66.617   -35.022   -31.595   -90.215
003-CK2 / 3PVG                             -96.128   -75.017   -21.112   -28.142
004-AR / 1US0                             -133.291  -116.681   -16.611   -14.236
