WARNING: Interface mlatom is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -2.291    -2.184    -0.107    -4.910
02 10GS_02_bbn                               0.016    -0.132     0.148   112.142
03 10GS_03_bbn                               0.521     0.428     0.093    21.707
04 10GS_04_bbn                               5.913     4.504     1.409    31.280
05 10GS_05_bbn                             -12.167   -11.437    -0.730    -6.383
06 10GS_06_pro                              -5.887    -6.883     0.996    14.467
07 10GS_07_bbn                              -7.306    -6.112    -1.194   -19.528
08 10GS_08_bbn                             -16.949   -14.282    -2.667   -18.675
09 10GS_09_bbn                              -3.360    -4.063     0.703    17.294
10 10GS_10_bbn                              -4.280    -3.957    -0.323    -8.171
11 10GS_11_bbn                              -0.264    -0.762     0.498    65.347
12 10GS_12_tyr                              -7.956    -7.821    -0.135    -1.725
13 10GS_13_phe                              -5.553    -5.857     0.304     5.196
14 10GS_14_val                              -1.581    -1.308    -0.273   -20.852
15 10GS_15_arg                             -57.314   -53.819    -3.495    -6.494
16 10GS_16_val                              -0.563    -0.618     0.055     8.898
17 10GS_17_trp                             -18.931   -19.558     0.627     3.205
18 10GS_18_lys                             -82.385   -89.344     6.959     7.789
19 10GS_19_gln                             -30.431   -32.038     1.607     5.015
20 10GS_20_leu                              -0.594    -1.287     0.693    53.827
21 10GS_21_gln                             -10.822   -10.897     0.075     0.684
22 10GS_22_ser                             -12.943   -11.270    -1.673   -14.844
23 10GS_23_tyr                              -2.252    -1.617    -0.635   -39.258
24 10GS_24_asp                              19.203    19.608    -0.405    -2.065
25 10GS_25_asp                             -13.371   -14.741     1.370     9.291
26 2CET_01_bbn                               0.403     0.231     0.172    74.667
27 2CET_02_bbn                              -0.755    -0.814     0.059     7.294
28 2CET_03_ala                              -0.303    -0.260    -0.043   -16.627
29 2CET_04_gln                              -9.544    -9.867     0.323     3.275
30 2CET_05_arg                              34.489    34.922    -0.433    -1.241
31 2CET_06_hie                              -3.318    -1.059    -2.259  -213.271
32 2CET_07_trp                              -4.983    -5.045     0.062     1.223
33 2CET_08_asn                              -3.319    -2.421    -0.898   -37.105
34 2CET_09_glu                            -102.760  -103.150     0.390     0.378
35 2CET_10_val                              -1.478    -2.021     0.543    26.847
36 2CET_11_val                              -0.558    -0.645     0.087    13.508
37 2CET_12_hie                               0.287    -0.152     0.439   288.736
38 2CET_13_asn                              -0.261    -0.471     0.210    44.691
39 2CET_14_asn                               3.978     3.300     0.678    20.556
40 2CET_15_tyr                              -6.635    -6.712     0.077     1.144
41 2CET_16_met                              -0.473    -0.626     0.153    24.429
42 2CET_17_trp                              -4.379    -4.775     0.396     8.295
43 2CET_18_glu                             -93.420   -92.916    -0.504    -0.543
44 2CET_19_trp                              -8.664    -9.608     0.944     9.825
45 2CET_20_asn                               0.075     0.300    -0.225   -74.849
46 2CET_21_glu                            -108.437  -110.346     1.909     1.730
47 2CET_22_trp                              -5.158    -2.321    -2.837  -122.249
48 2CET_23_phe                              -4.491    -5.529     1.038    18.780
49 2FVD_01_bbn                              -1.469    -1.071    -0.398   -37.134
50 2FVD_02_bbn                              -1.290    -0.993    -0.297   -29.886
51 2FVD_03_bbn                              -1.155    -0.802    -0.353   -44.020
52 2FVD_04_bbn                              -0.477    -0.422    -0.055   -13.034
53 2FVD_05_bbn                              -5.481    -5.863     0.382     6.521
54 2FVD_06_bbn                              -3.957    -3.338    -0.619   -18.545
55 2FVD_07_bbn                              -8.654    -8.131    -0.523    -6.428
56 2FVD_08_bbn                              -2.903    -2.300    -0.603   -26.235
57 2FVD_09_bbn                              -8.869    -7.877    -0.992   -12.598
58 2FVD_10_bbn                               2.164     1.604     0.560    34.902
59 2FVD_11_bbn                              -1.935    -1.444    -0.491   -33.973
60 2FVD_12_bbn                               0.299     0.235     0.064    27.083
61 2FVD_13_bbn                              -3.644    -3.477    -0.167    -4.802
62 2FVD_14_bbn                               0.190     0.073     0.117   160.622
63 2FVD_15_bbn                              -0.402    -0.301    -0.101   -33.578
64 2FVD_16_bbn                              -3.062    -3.018    -0.044    -1.463
65 2FVD_17_ile                              -4.154    -3.780    -0.374    -9.902
66 2FVD_18_val                              -3.033    -2.692    -0.341   -12.674
67 2FVD_19_ala                              -2.282    -1.773    -0.509   -28.704
68 2FVD_20_lys                              -4.672    -5.495     0.823    14.972
69 2FVD_21_val                              -1.081    -1.148     0.067     5.815
70 2FVD_22_phe                              -1.740    -2.355     0.615    26.100
71 2FVD_23_glu                              -8.652    -1.405    -7.247  -515.833
72 2FVD_24_phe                              -3.761    -3.086    -0.675   -21.884
73 2FVD_25_leu                              -1.783    -1.099    -0.684   -62.261
74 2FVD_26_hie                              -0.589    -0.527    -0.062   -11.717
75 2FVD_27_gln                              -4.791    -3.566    -1.225   -34.347
76 2FVD_28_asp                             -14.068    -9.816    -4.252   -43.321
77 2FVD_29_lys                             -17.870   -18.966     1.096     5.778
78 2FVD_30_asn                              -5.388    -4.527    -0.861   -19.028
79 2FVD_31_leu                              -4.918    -4.344    -0.574   -13.207
80 2FVD_32_ala                              -1.561    -1.161    -0.400   -34.471
81 2FVD_33_asp                             -11.004    -9.472    -1.532   -16.171
82 2OBF_01_bbn                              -0.589    -0.518    -0.071   -13.615
83 2OBF_02_bbn                              -6.975    -7.805     0.830    10.629
84 2OBF_03_bbn                               0.905     0.825     0.080     9.707
85 2OBF_04_bbn                              -2.799    -3.767     0.968    25.698
86 2OBF_05_bbn                              -0.350    -0.402     0.052    12.849
87 2OBF_06_bbn                              -0.906    -0.817    -0.089   -10.913
88 2OBF_07_pro                              -1.233    -1.039    -0.194   -18.675
89 2OBF_08_bbn                               0.313     0.362    -0.049   -13.440
90 2OBF_09_bbn                              -0.181    -0.473     0.292    61.729
91 2OBF_10_bbn                              -5.322    -5.683     0.361     6.347
92 2OBF_11_bbn                               0.706     0.668     0.038     5.641
93 2OBF_12_bbn                               2.437     1.836     0.601    32.753
94 2OBF_13_bbn                              -2.831    -2.971     0.140     4.697
95 2OBF_14_tyr                              -7.510    -6.909    -0.601    -8.705
96 2OBF_15_asn                              -7.550    -7.005    -0.545    -7.785
97 2OBF_16_tyr                              -6.248    -5.912    -0.336    -5.682
98 2OBF_17_arg                              39.915    41.108    -1.193    -2.903
99 2OBF_18_leu                              -0.423    -0.537     0.114    21.226
100 2OBF_19_val                             -3.482    -2.422    -1.060   -43.786
101 2OBF_20_ala                             -0.736    -0.973     0.237    24.328
102 2OBF_21_leu                             -2.709    -1.240    -1.469  -118.472
103 2OBF_22_tyr                             -4.042    -3.891    -0.151    -3.886
104 2OBF_23_tyr                             -2.903    -2.925     0.022     0.744
105 2OBF_24_phe                             -7.560    -9.337     1.777    19.034
106 2OBF_25_ala                             -0.870    -0.605    -0.265   -43.755
107 2OBF_26_ala                             -1.828    -1.585    -0.243   -15.318
108 2OBF_27_glu                           -135.073  -135.109     0.036     0.027
109 2OBF_28_tyr                             -7.515    -8.661     1.146    13.233
110 2OBF_29_val                             -0.716    -0.943     0.227    24.103
111 2OBF_30_met                              0.290    -0.341     0.631   185.029
112 2OBF_31_asp                            -80.820   -82.912     2.092     2.523
113 2OBF_32_val                             -2.134    -1.915    -0.219   -11.443
114 2OBF_33_val                             -1.784    -1.506    -0.278   -18.480
115 2P4Y_01_bbn                              0.564     0.633    -0.069   -10.874
116 2P4Y_02_bbn                             -3.129    -3.158     0.029     0.923
117 2P4Y_03_bbn                             -1.555    -1.621     0.066     4.089
118 2P4Y_04_bbn                              0.040    -0.504     0.544   107.990
119 2P4Y_05_bbn                             -2.603    -3.285     0.682    20.762
120 2P4Y_06_bbn                             -0.943    -1.259     0.316    25.114
121 2P4Y_07_bbn                             -2.720    -1.965    -0.755   -38.418
122 2P4Y_08_bbn                             -1.385    -1.945     0.560    28.805
