WARNING: Interface orbital is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -2.511    -2.184    -0.327   -14.972
02 10GS_02_bbn                              -0.845    -0.132    -0.713  -539.775
03 10GS_03_bbn                              -0.529     0.428    -0.957  -223.650
04 10GS_04_bbn                               3.952     4.504    -0.552   -12.250
05 10GS_05_bbn                             -12.690   -11.437    -1.253   -10.956
06 10GS_06_pro                              -7.769    -6.883    -0.886   -12.878
07 10GS_07_bbn                              -6.587    -6.112    -0.475    -7.774
08 10GS_08_bbn                             -14.863   -14.282    -0.581    -4.070
09 10GS_09_bbn                              -4.605    -4.063    -0.542   -13.349
10 10GS_10_bbn                              -4.279    -3.957    -0.322    -8.133
11 10GS_11_bbn                              -1.374    -0.762    -0.612   -80.279
12 10GS_12_tyr                              -8.423    -7.821    -0.602    -7.691
13 10GS_13_phe                              -6.002    -5.857    -0.145    -2.469
14 10GS_14_val                              -1.391    -1.308    -0.083    -6.316
15 10GS_15_arg                             -54.724   -53.819    -0.905    -1.681
16 10GS_16_val                              -0.653    -0.618    -0.035    -5.677
17 10GS_17_trp                             -20.110   -19.558    -0.552    -2.825
18 10GS_18_lys                             -89.225   -89.344     0.119     0.134
19 10GS_19_gln                             -34.478   -32.038    -2.440    -7.617
20 10GS_20_leu                              -2.072    -1.287    -0.785   -60.983
21 10GS_21_gln                             -11.519   -10.897    -0.622    -5.708
22 10GS_22_ser                             -11.367   -11.270    -0.097    -0.861
23 10GS_23_tyr                              -1.824    -1.617    -0.207   -12.809
24 10GS_24_asp                              24.198    19.608     4.590    23.408
25 10GS_25_asp                             -14.751   -14.741    -0.010    -0.065
26 2CET_01_bbn                               0.338     0.231     0.107    46.234
27 2CET_02_bbn                              -1.227    -0.814    -0.413   -50.779
28 2CET_03_ala                              -0.155    -0.260     0.105    40.452
29 2CET_04_gln                             -10.494    -9.867    -0.627    -6.358
30 2CET_05_arg                              38.487    34.922     3.565    10.208
31 2CET_06_hie                              -1.858    -1.059    -0.799   -75.440
32 2CET_07_trp                              -5.517    -5.045    -0.472    -9.364
33 2CET_08_asn                              -2.612    -2.421    -0.191    -7.903
34 2CET_09_glu                            -104.245  -103.150    -1.095    -1.062
35 2CET_10_val                              -1.959    -2.021     0.062     3.056
36 2CET_11_val                              -0.388    -0.645     0.257    39.772
37 2CET_12_hie                               0.631    -0.152     0.783   514.843
38 2CET_13_asn                              -0.282    -0.471     0.189    40.233
39 2CET_14_asn                               3.299     3.300    -0.001    -0.025
40 2CET_15_tyr                              -7.364    -6.712    -0.652    -9.715
41 2CET_16_met                              -0.721    -0.626    -0.095   -15.119
42 2CET_17_trp                              -4.932    -4.775    -0.157    -3.286
43 2CET_18_glu                             -93.537   -92.916    -0.621    -0.668
44 2CET_19_trp                             -10.449    -9.608    -0.841    -8.756
45 2CET_20_asn                              -0.101     0.300    -0.401  -133.780
46 2CET_21_glu                            -111.227  -110.346    -0.881    -0.798
47 2CET_22_trp                              -3.063    -2.321    -0.742   -31.957
48 2CET_23_phe                              -5.923    -5.529    -0.394    -7.122
49 2FVD_01_bbn                              -0.923    -1.071     0.148    13.789
50 2FVD_02_bbn                              -0.822    -0.993     0.171    17.222
51 2FVD_03_bbn                              -0.653    -0.802     0.149    18.568
52 2FVD_04_bbn                              -0.597    -0.422    -0.175   -41.417
53 2FVD_05_bbn                              -5.765    -5.863     0.098     1.669
54 2FVD_06_bbn                              -3.569    -3.338    -0.231    -6.933
55 2FVD_07_bbn                              -8.276    -8.131    -0.145    -1.785
56 2FVD_08_bbn                              -2.916    -2.300    -0.616   -26.798
57 2FVD_09_bbn                              -8.152    -7.877    -0.275    -3.495
58 2FVD_10_bbn                               1.340     1.604    -0.264   -16.462
59 2FVD_11_bbn                              -1.464    -1.444    -0.020    -1.371
60 2FVD_12_bbn                               0.124     0.235    -0.111   -47.293
61 2FVD_13_bbn                              -3.412    -3.477     0.065     1.875
62 2FVD_14_bbn                               0.034     0.073    -0.039   -53.726
63 2FVD_15_bbn                              -0.169    -0.301     0.132    43.887
64 2FVD_16_bbn                              -3.187    -3.018    -0.169    -5.586
65 2FVD_17_ile                              -4.200    -3.780    -0.420   -11.111
66 2FVD_18_val                              -2.984    -2.692    -0.292   -10.844
67 2FVD_19_ala                              -2.134    -1.773    -0.361   -20.348
68 2FVD_20_lys                              -5.056    -5.495     0.439     7.994
69 2FVD_21_val                              -1.092    -1.148     0.056     4.859
70 2FVD_22_phe                              -2.308    -2.355     0.047     1.983
71 2FVD_23_glu                               1.194    -1.405     2.599   184.951
72 2FVD_24_phe                              -3.254    -3.086    -0.168    -5.449
73 2FVD_25_leu                              -1.284    -1.099    -0.185   -16.801
74 2FVD_26_hie                              -0.484    -0.527     0.043     8.125
75 2FVD_27_gln                              -3.828    -3.566    -0.262    -7.359
76 2FVD_28_asp                              -9.650    -9.816     0.166     1.693
77 2FVD_29_lys                             -20.617   -18.966    -1.651    -8.706
78 2FVD_30_asn                              -4.650    -4.527    -0.123    -2.726
79 2FVD_31_leu                              -4.876    -4.344    -0.532   -12.237
80 2FVD_32_ala                              -1.241    -1.161    -0.080    -6.927
81 2FVD_33_asp                              -9.481    -9.472    -0.009    -0.094
82 2OBF_01_bbn                              -0.282    -0.518     0.236    45.656
83 2OBF_02_bbn                              -8.141    -7.805    -0.336    -4.305
84 2OBF_03_bbn                               0.248     0.825    -0.577   -69.973
85 2OBF_04_bbn                              -4.301    -3.767    -0.534   -14.185
86 2OBF_05_bbn                              -0.439    -0.402    -0.037    -9.239
87 2OBF_06_bbn                              -1.013    -0.817    -0.196   -24.040
88 2OBF_07_pro                              -1.126    -1.039    -0.087    -8.374
89 2OBF_08_bbn                               0.676     0.362     0.314    86.630
90 2OBF_09_bbn                              -0.394    -0.473     0.079    16.681
91 2OBF_10_bbn                              -5.416    -5.683     0.267     4.697
92 2OBF_11_bbn                               0.552     0.668    -0.116   -17.404
93 2OBF_12_bbn                               1.284     1.836    -0.552   -30.085
94 2OBF_13_bbn                              -2.984    -2.971    -0.013    -0.434
95 2OBF_14_tyr                              -7.026    -6.909    -0.117    -1.697
96 2OBF_15_asn                              -7.454    -7.005    -0.449    -6.412
97 2OBF_16_tyr                              -6.508    -5.912    -0.596   -10.086
98 2OBF_17_arg                              39.185    41.108    -1.923    -4.678
99 2OBF_18_leu                              -0.495    -0.537     0.042     7.739
100 2OBF_19_val                             -2.635    -2.422    -0.213    -8.788
101 2OBF_20_ala                             -0.726    -0.973     0.247    25.357
102 2OBF_21_leu                             -1.295    -1.240    -0.055    -4.428
103 2OBF_22_tyr                             -4.189    -3.891    -0.298    -7.652
104 2OBF_23_tyr                             -3.108    -2.925    -0.183    -6.249
105 2OBF_24_phe                            -10.179    -9.337    -0.842    -9.019
106 2OBF_25_ala                             -0.200    -0.605     0.405    66.964
107 2OBF_26_ala                             -1.261    -1.585     0.324    20.434
108 2OBF_27_glu                           -135.346  -135.109    -0.237    -0.175
109 2OBF_28_tyr                             -9.098    -8.661    -0.437    -5.047
110 2OBF_29_val                             -0.783    -0.943     0.160    17.012
111 2OBF_30_met                             -0.315    -0.341     0.026     7.542
112 2OBF_31_asp                            -82.198   -82.912     0.714     0.861
113 2OBF_32_val                             -1.880    -1.915     0.035     1.805
114 2OBF_33_val                             -1.250    -1.506     0.256    17.008
115 2P4Y_01_bbn                              0.056     0.633    -0.577   -91.106
116 2P4Y_02_bbn                             -3.513    -3.158    -0.355   -11.245
117 2P4Y_03_bbn                             -1.971    -1.621    -0.350   -21.561
118 2P4Y_04_bbn                             -1.115    -0.504    -0.611  -121.179
119 2P4Y_05_bbn                             -3.547    -3.285    -0.262    -7.973
120 2P4Y_06_bbn                             -1.182    -1.259     0.077     6.092
121 2P4Y_07_bbn                             -2.725    -1.965    -0.760   -38.673
122 2P4Y_08_bbn                             -2.139    -1.945    -0.194    -9.995
123 2P4Y_09_bbn                             -0.822    -0.814    -0.008    -0.981
124 2P4Y_10_bbn                             -1.351    -1.060    -0.291   -27.472
125 2P4Y_11_bbn                             -1.993    -1.549    -0.444   -28.665
126 2P4Y_12_bbn                             -2.128    -1.648    -0.480   -29.135
127 2P4Y_13_bbn                             -0.383     0.388    -0.771  -198.670
128 2P4Y_14_bbn                             -7.285    -7.223    -0.062    -0.862
129 2P4Y_15_bbn                            -22.329   -22.002    -0.327    -1.485
130 2P4Y_16_bbn                             -6.632    -6.373    -0.259    -4.067
131 2P4Y_17_phe                             -0.034    -0.118     0.084    71.373
132 2P4Y_18_ile                             -1.081    -0.958    -0.123   -12.835
133 2P4Y_19_cys                             -5.495    -5.376    -0.119    -2.212
134 2P4Y_20_phe                             -1.700    -1.502    -0.198   -13.200
135 2P4Y_21_arg                            -72.267   -70.559    -1.708    -2.421
136 2P4Y_22_ser                             -2.184    -1.952    -0.232   -11.908
137 2P4Y_23_ala                             -2.179    -2.010    -0.169    -8.399
138 2P4Y_24_glu                             18.590    19.435    -0.845    -4.346
139 2P4Y_25_ile                             -1.025    -1.935     0.910    47.046
140 2P4Y_26_ile                             -2.770    -2.787     0.017     0.611
141 2P4Y_27_tyr                             -2.049    -1.841    -0.208   -11.316
