WARNING: Interface fairchem is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -2.303    -2.184    -0.119    -5.459
02 10GS_02_bbn                              -0.516    -0.132    -0.384  -290.941
03 10GS_03_bbn                               0.291     0.428    -0.137   -32.056
04 10GS_04_bbn                               4.263     4.504    -0.241    -5.354
05 10GS_05_bbn                             -11.736   -11.437    -0.299    -2.615
06 10GS_06_pro                              -7.354    -6.883    -0.471    -6.840
07 10GS_07_bbn                              -6.013    -6.112     0.099     1.626
08 10GS_08_bbn                             -14.202   -14.282     0.080     0.557
09 10GS_09_bbn                              -3.578    -4.063     0.485    11.948
10 10GS_10_bbn                              -4.282    -3.957    -0.325    -8.201
11 10GS_11_bbn                              -1.054    -0.762    -0.292   -38.383
12 10GS_12_tyr                              -8.012    -7.821    -0.191    -2.443
13 10GS_13_phe                              -6.299    -5.857    -0.442    -7.550
14 10GS_14_val                              -1.316    -1.308    -0.008    -0.638
15 10GS_15_arg                             -54.557   -53.819    -0.738    -1.371
16 10GS_16_val                              -0.615    -0.618     0.003     0.449
17 10GS_17_trp                             -20.107   -19.558    -0.549    -2.807
18 10GS_18_lys                             -88.351   -89.344     0.993     1.112
19 10GS_19_gln                             -33.876   -32.038    -1.838    -5.736
20 10GS_20_leu                              -1.324    -1.287    -0.037    -2.905
21 10GS_21_gln                             -10.941   -10.897    -0.044    -0.401
22 10GS_22_ser                             -11.170   -11.270     0.100     0.892
23 10GS_23_tyr                              -1.863    -1.617    -0.246   -15.200
24 10GS_24_asp                              22.929    19.608     3.321    16.937
25 10GS_25_asp                             -15.071   -14.741    -0.330    -2.237
26 2CET_01_bbn                              -0.008     0.231    -0.239  -103.606
27 2CET_02_bbn                              -1.085    -0.814    -0.271   -33.317
28 2CET_03_ala                              -0.360    -0.260    -0.100   -38.312
29 2CET_04_gln                             -10.288    -9.867    -0.421    -4.271
30 2CET_05_arg                              34.663    34.922    -0.259    -0.743
31 2CET_06_hie                              -1.463    -1.059    -0.404   -38.191
32 2CET_07_trp                              -5.210    -5.045    -0.165    -3.264
33 2CET_08_asn                              -2.472    -2.421    -0.051    -2.113
34 2CET_09_glu                            -103.325  -103.150    -0.175    -0.169
35 2CET_10_val                              -2.239    -2.021    -0.218   -10.779
36 2CET_11_val                              -0.675    -0.645    -0.030    -4.653
37 2CET_12_hie                               1.229    -0.152     1.381   908.736
38 2CET_13_asn                              -0.358    -0.471     0.113    23.982
39 2CET_14_asn                               3.220     3.300    -0.080    -2.423
40 2CET_15_tyr                              -7.369    -6.712    -0.657    -9.785
41 2CET_16_met                              -0.551    -0.626     0.075    12.012
42 2CET_17_trp                              -4.714    -4.775     0.061     1.271
43 2CET_18_glu                             -93.207   -92.916    -0.291    -0.313
44 2CET_19_trp                             -10.735    -9.608    -1.127   -11.729
45 2CET_20_asn                               0.166     0.300    -0.134   -44.545
46 2CET_21_glu                            -110.847  -110.346    -0.501    -0.454
