        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -1.965    -2.184     0.219    10.035
02 10GS_02_bbn                               0.295    -0.132     0.427   323.337
03 10GS_03_bbn                               0.822     0.428     0.394    92.158
04 10GS_04_bbn                               7.384     4.504     2.880    63.951
05 10GS_05_bbn                             -11.815   -11.437    -0.378    -3.307
06 10GS_06_pro                              -5.290    -6.883     1.593    23.141
07 10GS_07_bbn                              -6.032    -6.112     0.080     1.304
08 10GS_08_bbn                             -15.136   -14.282    -0.854    -5.977
09 10GS_09_bbn                              -4.154    -4.063    -0.091    -2.230
10 10GS_10_bbn                              -4.025    -3.957    -0.068    -1.713
11 10GS_11_bbn                              -0.457    -0.762     0.305    40.068
12 10GS_12_tyr                              -6.889    -7.821     0.932    11.918
13 10GS_13_phe                              -6.413    -5.857    -0.556    -9.488
14 10GS_14_val                              -1.717    -1.308    -0.409   -31.247
15 10GS_15_arg                             -52.484   -53.819     1.335     2.481
16 10GS_16_val                              -0.746    -0.618    -0.128   -20.742
17 10GS_17_trp                             -16.845   -19.558     2.713    13.870
18 10GS_18_lys                             -85.368   -89.344     3.976     4.450
19 10GS_19_gln                             -33.181   -32.038    -1.143    -3.568
20 10GS_20_leu                              -0.985    -1.287     0.302    23.487
21 10GS_21_gln                              -9.489   -10.897     1.408    12.922
22 10GS_22_ser                             -11.353   -11.270    -0.083    -0.741
23 10GS_23_tyr                              -1.931    -1.617    -0.314   -19.390
24 10GS_24_asp                              18.245    19.608    -1.363    -6.952
25 10GS_25_asp                             -14.227   -14.741     0.514     3.486
26 2CET_01_bbn                              -0.205     0.231    -0.436  -188.626
27 2CET_02_bbn                              -1.228    -0.814    -0.414   -50.824
28 2CET_03_ala                              -0.726    -0.260    -0.466  -179.146
29 2CET_04_gln                              -9.587    -9.867     0.280     2.838
30 2CET_05_arg                              35.316    34.922     0.394     1.128
31 2CET_06_hie                              -2.018    -1.059    -0.959   -90.518
32 2CET_07_trp                              -4.485    -5.045     0.560    11.093
33 2CET_08_asn                              -3.423    -2.421    -1.002   -41.387
34 2CET_09_glu                            -103.071  -103.150     0.079     0.077
35 2CET_10_val                              -2.717    -2.021    -0.696   -34.425
36 2CET_11_val                              -1.278    -0.645    -0.633   -98.077
37 2CET_12_hie                               0.382    -0.152     0.534   351.087
38 2CET_13_asn                              -0.258    -0.471     0.213    45.276
39 2CET_14_asn                               4.014     3.300     0.714    21.648
40 2CET_15_tyr                              -5.945    -6.712     0.767    11.426
41 2CET_16_met                              -1.263    -0.626    -0.637  -101.802
42 2CET_17_trp                              -4.561    -4.775     0.214     4.491
43 2CET_18_glu                             -93.647   -92.916    -0.731    -0.787
44 2CET_19_trp                              -8.410    -9.608     1.198    12.468
45 2CET_20_asn                              -0.150     0.300    -0.450  -149.935
46 2CET_21_glu                            -108.524  -110.346     1.822     1.651
47 2CET_22_trp                              -2.535    -2.321    -0.214    -9.234
48 2CET_23_phe                              -4.935    -5.529     0.594    10.752
49 2FVD_01_bbn                              -1.153    -1.071    -0.082    -7.694
50 2FVD_02_bbn                              -1.242    -0.993    -0.249   -25.075
51 2FVD_03_bbn                              -0.983    -0.802    -0.181   -22.527
52 2FVD_04_bbn                              -0.699    -0.422    -0.277   -65.650
53 2FVD_05_bbn                              -4.118    -5.863     1.745    29.759
54 2FVD_06_bbn                              -3.600    -3.338    -0.262    -7.864
55 2FVD_07_bbn                              -7.525    -8.131     0.606     7.457
56 2FVD_08_bbn                              -2.520    -2.300    -0.220    -9.570
57 2FVD_09_bbn                              -8.332    -7.877    -0.455    -5.776
58 2FVD_10_bbn                               2.000     1.604     0.396    24.700
59 2FVD_11_bbn                              -1.442    -1.444     0.002     0.110
60 2FVD_12_bbn                               0.233     0.235    -0.002    -0.746
61 2FVD_13_bbn                              -2.688    -3.477     0.789    22.692
62 2FVD_14_bbn                               0.278     0.073     0.205   280.464
63 2FVD_15_bbn                              -0.321    -0.301    -0.020    -6.797
64 2FVD_16_bbn                              -3.351    -3.018    -0.333   -11.026
65 2FVD_17_ile                              -4.630    -3.780    -0.850   -22.498
66 2FVD_18_val                              -3.002    -2.692    -0.310   -11.517
67 2FVD_19_ala                              -2.042    -1.773    -0.269   -15.158
68 2FVD_20_lys                              -3.713    -5.495     1.782    32.421
69 2FVD_21_val                              -1.786    -1.148    -0.638   -55.566
70 2FVD_22_phe                              -1.991    -2.355     0.364    15.475
71 2FVD_23_glu                              -3.571    -1.405    -2.166  -154.164
72 2FVD_24_phe                              -3.204    -3.086    -0.118    -3.837
73 2FVD_25_leu                              -1.756    -1.099    -0.657   -59.755
74 2FVD_26_hie                              -0.663    -0.527    -0.136   -25.790
75 2FVD_27_gln                              -4.217    -3.566    -0.651   -18.256
76 2FVD_28_asp                             -12.291    -9.816    -2.475   -25.217
77 2FVD_29_lys                             -17.624   -18.966     1.342     7.075
78 2FVD_30_asn                              -5.058    -4.527    -0.531   -11.739
79 2FVD_31_leu                              -4.443    -4.344    -0.099    -2.279
80 2FVD_32_ala                              -1.586    -1.161    -0.425   -36.647
81 2FVD_33_asp                             -10.932    -9.472    -1.460   -15.415
82 2OBF_01_bbn                              -0.849    -0.518    -0.331   -63.854
83 2OBF_02_bbn                              -7.247    -7.805     0.558     7.155
84 2OBF_03_bbn                               0.250     0.825    -0.575   -69.657
85 2OBF_04_bbn                              -3.801    -3.767    -0.034    -0.895
86 2OBF_05_bbn                              -0.939    -0.402    -0.537  -133.620
87 2OBF_06_bbn                              -1.131    -0.817    -0.314   -38.491
88 2OBF_07_pro                              -2.030    -1.039    -0.991   -95.356
89 2OBF_08_bbn                              -0.147     0.362    -0.509  -140.628
90 2OBF_09_bbn                              -1.053    -0.473    -0.580  -122.531
91 2OBF_10_bbn                              -5.784    -5.683    -0.101    -1.773
92 2OBF_11_bbn                               0.147     0.668    -0.521   -77.928
93 2OBF_12_bbn                               1.767     1.836    -0.069    -3.753
94 2OBF_13_bbn                              -3.641    -2.971    -0.670   -22.546
95 2OBF_14_tyr                              -6.768    -6.909     0.141     2.034
96 2OBF_15_asn                              -7.101    -7.005    -0.096    -1.370
97 2OBF_16_tyr                              -6.491    -5.912    -0.579    -9.800
98 2OBF_17_arg                              41.627    41.108     0.519     1.263
99 2OBF_18_leu                              -1.738    -0.537    -1.201  -223.605
100 2OBF_19_val                             -3.677    -2.422    -1.255   -51.837
101 2OBF_20_ala                             -1.759    -0.973    -0.786   -80.736
102 2OBF_21_leu                             -2.707    -1.240    -1.467  -118.302
103 2OBF_22_tyr                             -4.324    -3.891    -0.433   -11.128
104 2OBF_23_tyr                             -3.739    -2.925    -0.814   -27.846
105 2OBF_24_phe                             -9.816    -9.337    -0.479    -5.128
106 2OBF_25_ala                             -1.403    -0.605    -0.798  -131.954
107 2OBF_26_ala                             -1.928    -1.585    -0.343   -21.616
108 2OBF_27_glu                           -132.481  -135.109     2.628     1.945
109 2OBF_28_tyr                             -7.139    -8.661     1.522    17.575
110 2OBF_29_val                             -1.981    -0.943    -1.038  -110.054
111 2OBF_30_met                             -1.637    -0.341    -1.296  -380.017
112 2OBF_31_asp                            -82.768   -82.912     0.144     0.174
113 2OBF_32_val                             -2.761    -1.915    -0.846   -44.179
114 2OBF_33_val                             -2.659    -1.506    -1.153   -76.554
115 2P4Y_01_bbn                              1.355     0.633     0.722   114.053
116 2P4Y_02_bbn                             -2.353    -3.158     0.805    25.484
117 2P4Y_03_bbn                             -0.271    -1.621     1.350    83.261
118 2P4Y_04_bbn                              0.827    -0.504     1.331   264.141
119 2P4Y_05_bbn                             -2.736    -3.285     0.549    16.721
120 2P4Y_06_bbn                             -0.839    -1.259     0.420    33.328
121 2P4Y_07_bbn                             -2.254    -1.965    -0.289   -14.704
122 2P4Y_08_bbn                             -1.331    -1.945     0.614    31.572
123 2P4Y_09_bbn                             -0.340    -0.814     0.474    58.224
124 2P4Y_10_bbn                             -0.267    -1.060     0.793    74.797
125 2P4Y_11_bbn                             -1.036    -1.549     0.513    33.108
126 2P4Y_12_bbn                             -0.956    -1.648     0.692    41.979
