        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
001-CA2 / 5NXG                            -202.451  -211.986     9.535     4.498
001-CA2 / 5NXI                            -200.873  -212.762    11.889     5.588
001-CA2 / 5NXO                            -196.352  -207.567    11.215     5.403
001-CA2 / 5NXP                            -212.175  -220.995     8.820     3.991
001-CA2 / 5NXV                            -198.430  -209.193    10.763     5.145
001-CA2 / 5NXW                            -196.343  -209.313    12.969     6.196
001-CA2 / 5NY1                            -199.950  -211.771    11.820     5.582
001-CA2 / 5NY3                            -199.399  -209.831    10.432     4.972
001-CA2 / 5NY6                            -206.656  -215.493     8.837     4.101
001-CA2 / 5NYA                            -193.341  -201.861     8.520     4.221
002-HIV-PR / 1HSG                         -136.024  -159.436    23.412    14.684
002-HIV-PR / 1HXW                         -139.169  -164.946    25.778    15.628
002-HIV-PR / 1IZH                         -159.002  -185.506    26.504    14.287
002-HIV-PR / 1T3R                         -119.762  -142.718    22.956    16.085
002-HIV-PR / 2Q54                         -125.942  -148.952    23.009    15.447
002-HIV-PR / 2Q55                         -136.590  -158.114    21.525    13.613
002-HIV-PR / 2Q5K                         -132.691  -154.373    21.681    14.045
002-HIV-PR / 3EKX                         -122.984  -147.017    24.033    16.347
002-HIV-PR / 3EL1                         -145.796  -172.163    26.367    15.315
002-HIV-PR / 3NU3                         -115.364  -134.550    19.186    14.259
002-HIV-PR / 3OXC                         -148.534  -168.252    19.718    11.719
002-HIV-PR / 5HVP                         -154.091  -177.938    23.847    13.402
002-HIV-PR / model13a                     -133.358  -156.858    23.500    14.982
002-HIV-PR / model13c                     -127.436  -149.031    21.595    14.490
002-HIV-PR / model13d                     -127.680  -150.288    22.608    15.043
002-HIV-PR / model16a                     -123.582  -148.081    24.499    16.544
002-HIV-PR / model16e                     -117.151  -141.468    24.317    17.189
002-HIV-PR / model16f                     -128.256  -150.523    22.267    14.793
002-HIV-PR / model22a                     -123.047  -147.097    24.050    16.350
002-HIV-PR / model22d                     -126.994  -151.568    24.575    16.214
002-HIV-PR / model23a                     -120.359  -140.381    20.022    14.263
002-HIV-PR / model25d                     -123.953  -147.422    23.469    15.919
003-CK2 / 1F0Q                             -30.239   -41.139    10.900    26.495
003-CK2 / 1J91                             -29.871   -38.947     9.076    23.303
003-CK2 / 1M2P                             -35.686   -45.809    10.123    22.098
003-CK2 / 1M2Q                             -38.794   -49.296    10.502    21.303
003-CK2 / 1M2R                             -36.305   -51.230    14.924    29.132
003-CK2 / 1ZOE                             -34.181   -45.791    11.610    25.355
003-CK2 / 1ZOG                             -32.219   -42.556    10.336    24.289
003-CK2 / 1ZOH                             -41.392   -51.919    10.527    20.276
003-CK2 / 2OXD                             -28.108   -38.405    10.297    26.812
003-CK2 / 2OXX                             -32.073   -42.194    10.121    23.986
003-CK2 / 2OXY                             -26.481   -36.497    10.016    27.443
003-CK2 / 3KXG                             -32.520   -42.526    10.007    23.530
003-CK2 / 3KXH                            -122.438  -134.643    12.205     9.065
003-CK2 / 3KXM                             -45.438   -58.057    12.619    21.735
003-CK2 / 3KXN                             -40.205   -35.022    -5.183   -14.800
003-CK2 / 3PVG                             -64.036   -75.017    10.980    14.637
004-AR / 1US0                             -101.264  -116.681    15.417    13.213
004-AR / 2IKG                             -118.624  -135.387    16.763    12.381
004-AR / 2IKH                             -106.275  -121.544    15.268    12.562
004-AR / 2IKI                             -106.554  -122.467    15.913    12.994
004-AR / 2IKJ                             -108.812  -125.206    16.394    13.094
004-AR / 4LAU                             -105.143  -123.618    18.475    14.945
004-AR / 4LAZ                             -109.265  -129.806    20.540    15.824
004-AR / 4LB3                             -109.456  -130.783    21.327    16.307
004-AR / 4LB4                             -107.507  -126.052    18.545    14.712
004-AR / 4LBR                             -111.083  -133.005    21.922    16.482
004-AR / 4LBS                             -109.858  -126.029    16.170    12.831
004-AR / 4QXI                             -112.948  -134.458    21.510    15.997
004-AR / 4XZH                             -110.903  -127.370    16.466    12.928
004-AR / 4XZI                             -111.613  -124.183    12.569    10.122
005-Cath-D / 6QBG                         -126.648  -141.732    15.084    10.643
005-Cath-D / 6QBH                         -121.448  -134.751    13.304     9.873
005-Cath-D / 6QCB                         -123.489  -138.797    15.308    11.029
005-Cath-D / model08                      -121.789  -134.845    13.056     9.682
005-Cath-D / model22                      -124.462  -139.915    15.454    11.045
005-Cath-D / model24                      -117.952  -133.666    15.714    11.756
005-Cath-D / model25                      -130.673  -149.974    19.301    12.869
005-Cath-D / model31                      -122.209  -136.938    14.729    10.756
005-Cath-D / model35                      -123.482  -137.815    14.333    10.400
005-Cath-D / model36                       -98.977  -112.987    14.011    12.400
006-BACE1 / 5QCO                           -35.343   -52.470    17.126    32.640
006-BACE1 / 5QCP                           -34.980   -53.010    18.030    34.012
006-BACE1 / 5QCR                          -119.646  -132.453    12.806     9.669
006-BACE1 / 5QCT                          -123.324  -138.476    15.152    10.942
006-BACE1 / 5QCU                          -118.791  -134.121    15.330    11.430
006-BACE1 / 5QCV                           -30.026   -43.669    13.642    31.241
006-BACE1 / 5QCX                           -32.895   -47.485    14.591    30.727
006-BACE1 / 5QCY                           -47.389   -63.325    15.936    25.165
006-BACE1 / 5QCZ                           -30.330   -42.338    12.008    28.362
006-BACE1 / 5QD0                           -39.309   -51.837    12.529    24.169
006-BACE1 / 5QD1                           -28.815   -45.141    16.326    36.167
006-BACE1 / 5QD2                           -27.977   -47.054    19.077    40.544
006-BACE1 / 5QD3                           -28.876   -45.228    16.352    36.155
006-BACE1 / 5QD5                           -33.967   -48.822    14.855    30.427
006-BACE1 / 5QD9                           -37.620   -56.152    18.532    33.003
006-BACE1 / 5QDA                           -31.170   -46.774    15.604    33.360
007-JAK1 / 4E4L                            -63.937   -85.629    21.692    25.333
007-JAK1 / 4E4N                            -69.856   -90.019    20.164    22.399
007-JAK1 / 4E5W                            -97.078  -112.641    15.564    13.817
007-JAK1 / 4EHZ                           -129.810  -146.744    16.934    11.540
007-JAK1 / 4EI4                            -64.003   -81.834    17.831    21.789
007-JAK1 / 4FK6                            -83.501  -104.602    21.102    20.173
007-JAK1 / 4I5C                            -70.381   -88.563    18.182    20.530
007-JAK1 / 4IVB                            -68.836   -87.282    18.446    21.134
007-JAK1 / 4IVC                            -83.320  -104.103    20.782    19.963
007-JAK1 / 4IVD                            -85.723  -107.100    21.377    19.960
007-JAK1 / 4K6Z                            -76.362   -92.596    16.234    17.532
007-JAK1 / 4K77                            -50.479   -64.250    13.771    21.434
008-Trypsin / 1K1I                        -185.818  -199.042    13.224     6.644
008-Trypsin / 1K1J                        -183.031  -197.068    14.037     7.123
008-Trypsin / 1K1L                        -180.475  -194.468    13.992     7.195
008-Trypsin / 1K1M                        -180.489  -194.773    14.283     7.333
008-Trypsin / 1K1N                        -131.522  -146.330    14.808    10.119
008-Trypsin / 2ZHD                        -206.712  -223.671    16.958     7.582
008-Trypsin / 2ZQ2                        -205.867  -222.638    16.771     7.533
008-Trypsin / 3LJJ                        -206.902  -220.327    13.425     6.093
008-Trypsin / 3LJO                        -204.364  -218.065    13.701     6.283
008-Trypsin / 5MNG                        -135.381  -140.649     5.268     3.745
008-Trypsin / 5MO2                        -127.214  -133.110     5.896     4.429
008-Trypsin / 6SY3                        -171.085  -188.975    17.890     9.467
008-Trypsin / 6T0M                        -207.254  -221.793    14.539     6.555
008-Trypsin / 6T0P                        -207.700  -222.309    14.609     6.572
008-Trypsin / 6T5W                        -187.780  -203.253    15.473     7.613
009-CDK2 / 3QQK                            -47.234   -61.680    14.446    23.420
009-CDK2 / 3QTQ                            -56.219   -72.420    16.201    22.371
009-CDK2 / 3QTR                            -49.379   -68.080    18.701    27.469
009-CDK2 / 3QTS                            -55.737   -74.760    19.023    25.445
009-CDK2 / 3QTU                           -113.571  -136.080    22.509    16.541
009-CDK2 / 3QTW                            -59.291   -79.690    20.399    25.598
009-CDK2 / 3QTX                            -86.413  -110.260    23.847    21.628
009-CDK2 / 3QTZ                            -78.841  -101.400    22.559    22.248
009-CDK2 / 3QU0                            -83.959  -108.200    24.241    22.404
009-CDK2 / 3QXP                            -89.886  -112.610    22.724    20.179
009-CDK2 / 3R8U                            -52.969   -69.770    16.801    24.081
009-CDK2 / 3R8V                            -48.607   -64.550    15.943    24.699
009-CDK2 / 3R8Z                            -41.701   -55.730    14.029    25.173
009-CDK2 / 3R9D                            -87.968  -112.600    24.632    21.876
009-CDK2 / 3R9N                            -51.094   -68.240    17.146    25.126
009-CDK2 / 3RAH                            -54.359   -74.470    20.111    27.006
009-CDK2 / 3RAK                            -74.093   -97.000    22.907    23.616
009-CDK2 / 3RAL                            -82.700  -105.740    23.040    21.789
