WARNING: Interface orbital is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -2.691    -2.184    -0.507   -23.221
02 10GS_02_bbn                              -0.766    -0.132    -0.634  -480.062
03 10GS_03_bbn                              -0.270     0.428    -0.698  -163.140
04 10GS_04_bbn                               3.367     4.504    -1.137   -25.250
05 10GS_05_bbn                             -12.668   -11.437    -1.231   -10.759
06 10GS_06_pro                              -7.972    -6.883    -1.089   -15.823
07 10GS_07_bbn                              -5.529    -6.112     0.583     9.544
08 10GS_08_bbn                             -14.075   -14.282     0.207     1.449
09 10GS_09_bbn                              -4.132    -4.063    -0.069    -1.709
10 10GS_10_bbn                              -4.301    -3.957    -0.344    -8.702
11 10GS_11_bbn                              -1.408    -0.762    -0.646   -84.712
12 10GS_12_tyr                              -7.950    -7.821    -0.129    -1.644
13 10GS_13_phe                              -6.475    -5.857    -0.618   -10.543
14 10GS_14_val                              -1.436    -1.308    -0.128    -9.759
15 10GS_15_arg                             -54.724   -53.819    -0.905    -1.681
16 10GS_16_val                              -1.143    -0.618    -0.525   -84.934
17 10GS_17_trp                             -20.628   -19.558    -1.070    -5.473
18 10GS_18_lys                             -90.486   -89.344    -1.142    -1.278
19 10GS_19_gln                             -35.683   -32.038    -3.645   -11.377
20 10GS_20_leu                              -1.329    -1.287    -0.042    -3.239
21 10GS_21_gln                             -11.429   -10.897    -0.532    -4.881
22 10GS_22_ser                             -10.843   -11.270     0.427     3.785
23 10GS_23_tyr                              -1.734    -1.617    -0.117    -7.238
24 10GS_24_asp                              17.971    19.608    -1.637    -8.349
25 10GS_25_asp                             -17.419   -14.741    -2.678   -18.169
26 2CET_01_bbn                               0.214     0.231    -0.017    -7.385
27 2CET_02_bbn                              -0.552    -0.814     0.262    32.218
28 2CET_03_ala                               0.099    -0.260     0.359   137.894
29 2CET_04_gln                              -9.853    -9.867     0.014     0.147
30 2CET_05_arg                              35.154    34.922     0.232     0.664
31 2CET_06_hie                              -1.047    -1.059     0.012     1.116
32 2CET_07_trp                              -4.887    -5.045     0.158     3.135
33 2CET_08_asn                              -2.252    -2.421     0.169     6.980
34 2CET_09_glu                            -104.133  -103.150    -0.983    -0.953
35 2CET_10_val                              -2.348    -2.021    -0.327   -16.166
36 2CET_11_val                              -0.738    -0.645    -0.093   -14.346
37 2CET_12_hie                               0.079    -0.152     0.231   151.855
38 2CET_13_asn                              -0.563    -0.471    -0.092   -19.533
39 2CET_14_asn                               3.142     3.300    -0.158    -4.802
40 2CET_15_tyr                              -6.981    -6.712    -0.269    -4.011
41 2CET_16_met                              -0.721    -0.626    -0.095   -15.119
42 2CET_17_trp                              -4.797    -4.775    -0.022    -0.456
43 2CET_18_glu                             -93.751   -92.916    -0.835    -0.899
44 2CET_19_trp                              -9.436    -9.608     0.172     1.791
45 2CET_20_asn                              -0.079     0.300    -0.379  -126.273
46 2CET_21_glu                            -111.418  -110.346    -1.072    -0.972
47 2CET_22_trp                              -1.982    -2.321     0.339    14.616
48 2CET_23_phe                              -5.675    -5.529    -0.146    -2.642
49 2FVD_01_bbn                              -0.788    -1.071     0.283    26.405
50 2FVD_02_bbn                              -1.036    -0.993    -0.043    -4.323
51 2FVD_03_bbn                              -0.518    -0.802     0.284    35.416
52 2FVD_04_bbn                              -0.495    -0.422    -0.073   -17.403
53 2FVD_05_bbn                              -5.754    -5.863     0.109     1.861
54 2FVD_06_bbn                              -3.524    -3.338    -0.186    -5.584
55 2FVD_07_bbn                              -8.164    -8.131    -0.033    -0.400
56 2FVD_08_bbn                              -3.164    -2.300    -0.864   -37.568
57 2FVD_09_bbn                              -8.535    -7.877    -0.658    -8.355
58 2FVD_10_bbn                               0.845     1.604    -0.759   -47.350
59 2FVD_11_bbn                              -1.576    -1.444    -0.132    -9.169
60 2FVD_12_bbn                               0.180     0.235    -0.055   -23.336
61 2FVD_13_bbn                              -3.254    -3.477     0.223     6.409
62 2FVD_14_bbn                              -0.146     0.073    -0.219  -300.521
63 2FVD_15_bbn                              -0.236    -0.301     0.065    21.442
64 2FVD_16_bbn                              -2.939    -3.018     0.079     2.622
65 2FVD_17_ile                              -4.200    -3.780    -0.420   -11.111
66 2FVD_18_val                              -2.843    -2.692    -0.151    -5.615
67 2FVD_19_ala                              -1.954    -1.773    -0.181   -10.187
68 2FVD_20_lys                              -5.247    -5.495     0.248     4.510
69 2FVD_21_val                              -0.946    -1.148     0.202    17.610
70 2FVD_22_phe                              -2.252    -2.355     0.103     4.373
71 2FVD_23_glu                               5.044    -1.405     6.449   459.039
72 2FVD_24_phe                              -3.164    -3.086    -0.078    -2.530
73 2FVD_25_leu                              -1.171    -1.099    -0.072    -6.555
74 2FVD_26_hie                              -0.304    -0.527     0.223    42.311
75 2FVD_27_gln                              -3.716    -3.566    -0.150    -4.201
76 2FVD_28_asp                              -9.931    -9.816    -0.115    -1.175
77 2FVD_29_lys                             -19.153   -18.966    -0.187    -0.988
78 2FVD_30_asn                              -4.358    -4.527     0.169     3.741
79 2FVD_31_leu                              -4.583    -4.344    -0.239    -5.498
80 2FVD_32_ala                              -1.149    -1.161     0.012     1.075
81 2FVD_33_asp                              -9.526    -9.472    -0.054    -0.570
82 2OBF_01_bbn                               0.124    -0.518     0.642   123.911
83 2OBF_02_bbn                              -8.963    -7.805    -1.158   -14.836
84 2OBF_03_bbn                              -0.180     0.825    -1.005  -121.838
85 2OBF_04_bbn                              -4.650    -3.767    -0.883   -23.451
86 2OBF_05_bbn                              -2.252    -0.402    -1.850  -460.201
87 2OBF_06_bbn                              -1.272    -0.817    -0.455   -55.739
88 2OBF_07_pro                              -1.982    -1.039    -0.943   -90.738
89 2OBF_08_bbn                               0.034     0.362    -0.328   -90.668
90 2OBF_09_bbn                              -0.034    -0.473     0.439    92.858
91 2OBF_10_bbn                              -5.664    -5.683     0.019     0.338
92 2OBF_11_bbn                               0.619     0.668    -0.049    -7.290
93 2OBF_12_bbn                               1.768     1.836    -0.068    -3.713
94 2OBF_13_bbn                              -2.871    -2.971     0.100     3.355
95 2OBF_14_tyr                              -7.071    -6.909    -0.162    -2.349
96 2OBF_15_asn                              -7.567    -7.005    -0.562    -8.019
97 2OBF_16_tyr                              -6.553    -5.912    -0.641   -10.848
98 2OBF_17_arg                              41.797    41.108     0.689     1.677
99 2OBF_18_leu                              -1.261    -0.537    -0.724  -134.846
100 2OBF_19_val                             -3.018    -2.422    -0.596   -24.595
101 2OBF_20_ala                             -0.808    -0.973     0.165    16.967
102 2OBF_21_leu                             -1.993    -1.240    -0.753   -60.728
103 2OBF_22_tyr                             -4.301    -3.891    -0.410   -10.546
104 2OBF_23_tyr                             -4.009    -2.925    -1.084   -37.045
105 2OBF_24_phe                            -10.100    -9.337    -0.763    -8.174
106 2OBF_25_ala                             -0.194    -0.605     0.411    67.895
107 2OBF_26_ala                             -1.343    -1.585     0.242    15.283
108 2OBF_27_glu                           -136.359  -135.109    -1.250    -0.925
109 2OBF_28_tyr                             -9.346    -8.661    -0.685    -7.907
110 2OBF_29_val                             -0.974    -0.943    -0.031    -3.287
111 2OBF_30_met                              0.000    -0.341     0.341   100.000
112 2OBF_31_asp                            -83.369   -82.912    -0.457    -0.552
113 2OBF_32_val                             -1.661    -1.915     0.254    13.271
114 2OBF_33_val                             -1.374    -1.506     0.132     8.783
115 2P4Y_01_bbn                             -0.214     0.633    -0.847  -133.798
116 2P4Y_02_bbn                             -2.669    -3.158     0.489    15.496
117 2P4Y_03_bbn                             -2.229    -1.621    -0.608   -37.538
118 2P4Y_04_bbn                             -0.676    -0.504    -0.172   -34.048
119 2P4Y_05_bbn                             -2.871    -3.285     0.414    12.593
120 2P4Y_06_bbn                             -1.025    -1.259     0.234    18.613
121 2P4Y_07_bbn                             -2.094    -1.965    -0.129    -6.584
122 2P4Y_08_bbn                             -2.376    -1.945    -0.431   -22.153
123 2P4Y_09_bbn                             -0.822    -0.814    -0.008    -0.981
124 2P4Y_10_bbn                             -1.227    -1.060    -0.167   -15.787
125 2P4Y_11_bbn                             -1.531    -1.549     0.018     1.139
126 2P4Y_12_bbn                             -1.453    -1.648     0.195    11.860
127 2P4Y_13_bbn                              0.236     0.388    -0.152   -39.057
128 2P4Y_14_bbn                             -7.578    -7.223    -0.355    -4.915
129 2P4Y_15_bbn                            -22.171   -22.002    -0.169    -0.768
130 2P4Y_16_bbn                             -7.769    -6.373    -1.396   -21.912
131 2P4Y_17_phe                             -0.034    -0.118     0.084    71.373
132 2P4Y_18_ile                             -1.261    -0.958    -0.303   -31.641
133 2P4Y_19_cys                             -5.292    -5.376     0.084     1.558
134 2P4Y_20_phe                             -1.689    -1.502    -0.187   -12.450
135 2P4Y_21_arg                            -71.636   -70.559    -1.077    -1.527
136 2P4Y_22_ser                             -1.841    -1.952     0.111     5.686
137 2P4Y_23_ala                             -2.004    -2.010     0.006     0.284
138 2P4Y_24_glu                             16.597    19.435    -2.838   -14.601
139 2P4Y_25_ile                             -1.137    -1.935     0.798    41.227
140 2P4Y_26_ile                             -2.567    -2.787     0.220     7.883
141 2P4Y_27_tyr                             -0.856    -1.841     0.985    53.516
142 2P4Y_28_met                             -2.432    -2.641     0.209     7.907
143 2P4Y_29_leu                             -4.707    -4.607    -0.100    -2.164
144 2P4Y_30_leu                             -2.590    -2.673     0.083     3.112
145 2P4Y_31_val                             -1.621    -1.593    -0.028    -1.786
146 2P4Y_32_ile                             -8.569    -7.524    -1.045   -13.887
147 2P4Y_33_ser                             -4.442    -3.787    -0.655   -17.298
148 2P4Y_34_met                             -2.139    -2.077    -0.062    -3.005
149 2P4Y_35_leu                             -1.239    -1.370     0.131     9.591
150 2P4Y_36_phe                             -1.137    -1.510     0.373    24.685
151 2P4Y_37_met                             -2.883    -3.066     0.183     5.983
152 2P4Y_38_lys                            -29.062   -28.948    -0.114    -0.394
153 2P4Y_39_hie                              0.023    -1.154     1.177   101.951
154 2VOT_01_bbn                              3.006     2.471     0.535    21.669
155 2VOT_02_bbn                              1.666     0.834     0.832    99.818
156 2VOT_03_bbn                              1.362     1.814    -0.452   -24.892
157 2VOT_04_trp                             -1.396    -1.855     0.459    24.731
158 2VOT_05_asp                           -109.628  -108.715    -0.913    -0.840
159 2VOT_06_trp                             -0.856    -0.130    -0.726  -558.279
160 2VOT_07_arg                             42.180    41.149     1.031     2.506
161 2VOT_08_trp                             -1.351    -1.687     0.336    19.905
162 2VOT_09_cys                             -1.847    -1.784    -0.063    -3.512
163 2VOT_10_asn                             -3.389    -3.554     0.165     4.635
164 2VOT_11_glu                           -110.619  -109.350    -1.269    -1.160
165 2VOT_12_glu                            -47.506   -45.354    -2.152    -4.745
166 2VOT_13_trp                             -1.171    -0.448    -0.723  -161.394
167 2VOT_14_trp                             -0.068     0.355    -0.423  -119.031
168 2VOT_15_hip                             51.436    52.496    -1.060    -2.020
169 2VOT_16_trp                             -8.220    -7.689    -0.531    -6.904
170 2VOT_17_tyr                             -3.626    -4.084     0.458    11.221
171 2VOT_18_glu                           -112.623  -111.797    -0.826    -0.739
172 2VOT_19_ser                              0.535     0.657    -0.122   -18.592
173 2VOT_20_ser                             -1.458    -1.306    -0.152   -11.652
174 2VOT_21_trp                            -14.098   -14.338     0.240     1.677
175 2VOT_22_trp                             -7.522    -7.156    -0.366    -5.110
176 2VW5_01_bbn                             -1.689    -1.602    -0.087    -5.431
177 2VW5_02_bbn                             -2.241    -2.012    -0.229   -11.369
178 2VW5_03_bbn                             -0.586    -0.165    -0.421  -254.862
179 2VW5_04_bbn                             -0.158    -0.347     0.189    54.570
180 2VW5_05_bbn                             -1.633    -1.513    -0.120    -7.912
181 2VW5_06_bbn                             -0.293     0.010    -0.303 -3027.609
182 2VW5_07_bbn                              0.135    -0.062     0.197   317.936
183 2VW5_08_bbn                             -0.360    -0.306    -0.054   -17.752
184 2VW5_09_bbn                             -2.263    -1.959    -0.304   -15.532
185 2VW5_10_bbn                             -0.586    -0.747     0.161    21.617
186 2VW5_11_bbn                             -4.380    -3.942    -0.438   -11.115
187 2VW5_12_bbn                             -0.135     0.092    -0.227  -246.870
188 2VW5_13_bbn                             -7.443    -7.609     0.166     2.183
189 2VW5_14_bbn                             -2.612    -2.653     0.041     1.533
190 2VW5_15_bbn                              0.090     0.119    -0.029   -24.302
191 2VW5_16_asn                             -6.339    -6.153    -0.186    -3.029
192 2VW5_17_ala                             -0.228    -0.437     0.209    47.823
193 2VW5_18_asp                            -27.632   -27.702     0.070     0.252
194 2VW5_19_ala                             -1.543    -1.574     0.031     1.993
195 2VW5_20_lys                            -16.935   -16.841    -0.094    -0.559
196 2VW5_21_asp                            -18.759   -20.676     1.917     9.271
197 2VW5_22_ile                             -1.025    -0.966    -0.059    -6.073
198 2VW5_23_met                             -6.576    -5.847    -0.729   -12.466
199 2VW5_24_glu                             -5.765    -6.855     1.090    15.899
200 2VW5_25_asn                             -2.286    -1.838    -0.448   -24.363
201 2VW5_26_leu                             -1.610    -1.397    -0.213   -15.260
202 2VW5_28_val                             -0.625    -0.688     0.063     9.167
203 2VW5_29_phe                             -4.042    -3.685    -0.357    -9.697
204 2VW5_30_tyr                             -1.329    -1.319    -0.010    -0.734
205 2VW5_31_val                             -0.552    -0.469    -0.083   -17.642
206 2VW5_32_thr                             -4.864    -4.575    -0.289    -6.324
207 2VW5_33_leu                             -0.833    -0.905     0.072     7.929
208 2XB8_01_bbn                              3.119     2.947     0.172     5.837
209 2XB8_02_bbn                             -3.817    -3.648    -0.169    -4.637
210 2XB8_03_bbn                             -2.151    -2.281     0.130     5.714
211 2XB8_04_bbn                             -3.220    -3.228     0.008     0.236
212 2XB8_05_bbn                             -1.948    -1.707    -0.241   -14.118
213 2XB8_06_bbn                              2.162     1.795     0.367    20.442
214 2XB8_07_bbn                             -1.430     0.743    -2.173  -292.466
215 2XB8_08_bbn                             -9.064    -8.427    -0.637    -7.563
216 2XB8_09_bbn                             -5.303    -4.519    -0.784   -17.359
217 2XB8_10_bbn                             -1.621    -1.881     0.260    13.799
218 2XB8_11_bbn                             -4.324    -3.191    -1.133   -35.501
219 2XB8_12_bbn                            -19.120   -18.509    -0.611    -3.299
220 2XB8_13_bbn                            -19.333   -18.726    -0.607    -3.244
221 2XB8_14_bbn                              2.151     3.105    -0.954   -30.735
222 2XB8_15_bbn                             -0.890    -1.108     0.218    19.716
223 2XB8_16_asn                              0.833     0.457     0.376    82.329
224 2XB8_17_leu                             -4.729    -4.157    -0.572   -13.765
225 2XB8_18_arg                            -26.776   -24.340    -2.436   -10.010
226 2XB8_19_leu                             -0.574    -0.451    -0.123   -27.331
227 2XB8_20_arg                            -24.389   -19.929    -4.460   -22.381
228 2XB8_21_tyr                             -8.828    -7.905    -0.923   -11.674
229 2XB8_22_asn                             -9.503    -9.067    -0.436    -4.814
230 2XB8_23_thr                             -1.126    -1.159     0.033     2.847
231 2XB8_24_hid                             -4.966    -4.787    -0.179    -3.732
232 2XB8_25_hie                              2.286     3.033    -0.747   -24.636
233 2XB8_26_ile                             -4.414    -3.670    -0.744   -20.271
234 2XB8_27_ser                            -13.664   -13.012    -0.652    -5.011
235 2XB8_28_val                             -1.650    -1.439    -0.211   -14.635
236 2XB8_29_arg                            -52.449   -51.470    -0.979    -1.903
237 2XB8_30_arg                            -59.340   -58.856    -0.484    -0.823
238 2XB8_31_val                             -0.586    -0.697     0.111    15.994
239 2XB8_32_asp                             27.959    28.727    -0.768    -2.675
240 2XB8_33_glu                             23.297    22.273     1.024     4.598
241 2YKI_01_bbn                              0.383     0.150     0.233   155.227
242 2YKI_02_bbn                             -0.383    -0.223    -0.160   -71.678
243 2YKI_03_bbn                             -0.867    -0.885     0.018     2.031
244 2YKI_04_bbn                             -0.833    -0.501    -0.332   -66.316
245 2YKI_05_bbn                             -1.070    -1.095     0.025     2.310
246 2YKI_06_bbn                             -1.160    -0.852    -0.308   -36.125
247 2YKI_07_bbn                             -1.171    -1.001    -0.170   -16.987
248 2YKI_08_bbn                            -10.337   -10.123    -0.214    -2.111
249 2YKI_09_bbn                             -0.079    -0.006    -0.073 -1213.671
250 2YKI_10_bbn                             -0.980    -1.105     0.125    11.346
251 2YKI_11_bbn                             -4.808    -4.313    -0.495   -11.478
252 2YKI_12_bbn                             -1.284    -1.057    -0.227   -21.442
253 2YKI_13_bbn                             -0.653    -0.391    -0.262   -67.029
254 2YKI_14_bbn                             -1.982    -1.846    -0.136    -7.355
255 2YKI_15_bbn                             -0.507    -0.336    -0.171   -50.804
256 2YKI_16_bbn                             -0.236    -0.240     0.004     1.475
257 2YKI_17_bbn                             -2.590    -2.670     0.080     3.003
258 2YKI_18_bbn                             -1.757    -1.851     0.094     5.102
259 2YKI_19_bbn                              0.090     0.096    -0.006    -6.166
260 2YKI_20_bbn                              0.056     0.160    -0.104   -64.812
261 2YKI_21_bbn                              0.203    -0.036     0.239   663.002
262 2YKI_22_phe                             -1.858    -2.016     0.158     7.842
263 2YKI_23_gln                             -1.002    -0.677    -0.325   -48.027
264 2YKI_24_ile                             -1.058    -1.114     0.056     4.987
265 2YKI_25_leu                             -0.462    -0.415    -0.047   -11.244
266 2YKI_26_asn                             -7.679    -7.324    -0.355    -4.852
267 2YKI_27_ser                              0.236     0.118     0.118   100.390
268 2YKI_28_ala                             -0.338    -0.284    -0.054   -18.944
269 2YKI_29_asp                            -27.869   -25.837    -2.032    -7.863
270 2YKI_30_ile                             -0.428    -0.373    -0.055   -14.713
271 2YKI_31_met                             -7.612    -7.012    -0.600    -8.554
272 2YKI_32_leu                             -1.712    -1.697    -0.015    -0.856
273 2YKI_33_ile                             -0.563    -0.356    -0.207   -58.147
