        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -2.113    -2.184     0.071     3.236
02 10GS_02_bbn                               0.090    -0.132     0.222   168.151
03 10GS_03_bbn                               0.685     0.428     0.257    60.054
04 10GS_04_bbn                               6.121     4.504     1.617    35.899
05 10GS_05_bbn                             -12.430   -11.437    -0.993    -8.680
06 10GS_06_pro                              -6.988    -6.883    -0.105    -1.520
07 10GS_07_bbn                              -5.809    -6.112     0.303     4.959
08 10GS_08_bbn                             -13.100   -14.282     1.182     8.280
09 10GS_09_bbn                              -4.434    -4.063    -0.371    -9.127
10 10GS_10_bbn                              -3.676    -3.957     0.281     7.102
11 10GS_11_bbn                              -0.680    -0.762     0.082    10.792
12 10GS_12_tyr                              -4.546    -7.821     3.275    41.870
13 10GS_13_phe                              -5.494    -5.857     0.363     6.206
14 10GS_14_val                              -1.284    -1.308     0.024     1.800
15 10GS_15_arg                             -51.692   -53.819     2.127     3.952
16 10GS_16_val                              -0.612    -0.618     0.006     1.012
17 10GS_17_trp                             -16.186   -19.558     3.372    17.241
18 10GS_18_lys                             -85.383   -89.344     3.961     4.434
19 10GS_19_gln                             -32.115   -32.038    -0.077    -0.241
20 10GS_20_leu                              -0.642    -1.287     0.645    50.131
21 10GS_21_gln                             -10.662   -10.897     0.235     2.153
22 10GS_22_ser                             -11.214   -11.270     0.056     0.501
23 10GS_23_tyr                              -1.402    -1.617     0.215    13.316
24 10GS_24_asp                              19.587    19.608    -0.021    -0.108
25 10GS_25_asp                             -15.165   -14.741    -0.424    -2.875
26 2CET_01_bbn                               0.323     0.231     0.092    39.652
27 2CET_02_bbn                              -0.664    -0.814     0.150    18.459
28 2CET_03_ala                              -0.257    -0.260     0.003     1.225
29 2CET_04_gln                             -10.949    -9.867    -1.082   -10.967
30 2CET_05_arg                              35.023    34.922     0.101     0.290
31 2CET_06_hie                              -2.520    -1.059    -1.461  -137.984
32 2CET_07_trp                              -3.662    -5.045     1.383    27.420
33 2CET_08_asn                              -3.543    -2.421    -1.122   -46.332
34 2CET_09_glu                             -98.529  -103.150     4.621     4.480
35 2CET_10_val                              -2.097    -2.021    -0.076    -3.766
36 2CET_11_val                              -0.509    -0.645     0.136    21.122
37 2CET_12_hie                               1.002    -0.152     1.154   758.991
38 2CET_13_asn                               0.038    -0.471     0.509   108.134
39 2CET_14_asn                               3.971     3.300     0.671    20.318
40 2CET_15_tyr                              -6.984    -6.712    -0.272    -4.058
41 2CET_16_met                              -0.529    -0.626     0.097    15.485
42 2CET_17_trp                              -5.161    -4.775    -0.386    -8.086
43 2CET_18_glu                             -90.889   -92.916     2.027     2.182
44 2CET_19_trp                              -9.056    -9.608     0.552     5.741
45 2CET_20_asn                               0.205     0.300    -0.095   -31.814
46 2CET_21_glu                            -104.752  -110.346     5.594     5.070
47 2CET_22_trp                              -2.997    -2.321    -0.676   -29.140
48 2CET_23_phe                              -5.077    -5.529     0.452     8.182
49 2FVD_01_bbn                              -0.813    -1.071     0.258    24.082
50 2FVD_02_bbn                              -1.021    -0.993    -0.028    -2.809
51 2FVD_03_bbn                              -0.618    -0.802     0.184    23.002
52 2FVD_04_bbn                              -0.662    -0.422    -0.240   -56.770
53 2FVD_05_bbn                              -7.201    -5.863    -1.338   -22.814
54 2FVD_06_bbn                              -5.287    -3.338    -1.949   -58.401
55 2FVD_07_bbn                              -8.002    -8.131     0.129     1.591
56 2FVD_08_bbn                              -0.996    -2.300     1.304    56.689
57 2FVD_09_bbn                              -9.262    -7.877    -1.385   -17.586
58 2FVD_10_bbn                               2.455     1.604     0.851    53.040
59 2FVD_11_bbn                              -1.555    -1.444    -0.111    -7.656
60 2FVD_12_bbn                               0.576     0.235     0.341   144.901
61 2FVD_13_bbn                              -5.277    -3.477    -1.800   -51.757
62 2FVD_14_bbn                               0.599     0.073     0.526   721.183
63 2FVD_15_bbn                              -0.176    -0.301     0.125    41.499
64 2FVD_16_bbn                              -2.959    -3.018     0.059     1.959
65 2FVD_17_ile                              -3.418    -3.780     0.362     9.571
66 2FVD_18_val                              -2.201    -2.692     0.491    18.247
67 2FVD_19_ala                              -2.177    -1.773    -0.404   -22.795
68 2FVD_20_lys                              -1.526    -5.495     3.969    72.229
69 2FVD_21_val                              -0.925    -1.148     0.223    19.459
70 2FVD_22_phe                              -1.351    -2.355     1.004    42.637
71 2FVD_23_glu                              -0.588    -1.405     0.817    58.167
72 2FVD_24_phe                              -2.901    -3.086     0.185     6.009
73 2FVD_25_leu                              -0.835    -1.099     0.264    24.014
74 2FVD_26_hie                              -0.458    -0.527     0.069    13.068
75 2FVD_27_gln                              -4.076    -3.566    -0.510   -14.296
76 2FVD_28_asp                              -9.308    -9.816     0.508     5.177
77 2FVD_29_lys                             -21.484   -18.966    -2.518   -13.276
78 2FVD_30_asn                              -5.079    -4.527    -0.552   -12.203
79 2FVD_31_leu                              -4.461    -4.344    -0.117    -2.696
80 2FVD_32_ala                              -1.276    -1.161    -0.115    -9.923
81 2FVD_33_asp                              -8.117    -9.472     1.355    14.304
82 2OBF_01_bbn                               0.398    -0.518     0.916   176.810
83 2OBF_02_bbn                              -6.333    -7.805     1.472    18.858
84 2OBF_03_bbn                               1.013     0.825     0.188    22.767
85 2OBF_04_bbn                              -3.339    -3.767     0.428    11.373
86 2OBF_05_bbn                              -0.082    -0.402     0.320    79.614
87 2OBF_06_bbn                              -1.332    -0.817    -0.515   -63.000
88 2OBF_07_pro                              -0.827    -1.039     0.212    20.418
89 2OBF_08_bbn                               0.382     0.362     0.020     5.437
90 2OBF_09_bbn                               0.039    -0.473     0.512   108.244
91 2OBF_10_bbn                              -5.250    -5.683     0.433     7.612
92 2OBF_11_bbn                               0.736     0.668     0.068    10.248
93 2OBF_12_bbn                               2.671     1.836     0.835    45.460
94 2OBF_13_bbn                              -2.730    -2.971     0.241     8.124
95 2OBF_14_tyr                              -7.927    -6.909    -1.018   -14.738
96 2OBF_15_asn                              -6.137    -7.005     0.868    12.395
