WARNING: Interface aimnet2 is under development and should be used with care:
         Only basic functionality, no error checks
        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
==============================
*** Open Babel Warning  in PerceiveBondOrders
  Failed to kekulize aromatic bonds in OBMol::PerceiveBondOrders

Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
==============================
*** Open Babel Warning  in PerceiveBondOrders
  Failed to kekulize aromatic bonds in OBMol::PerceiveBondOrders

Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
==============================
*** Open Babel Warning  in PerceiveBondOrders
  Failed to kekulize aromatic bonds in OBMol::PerceiveBondOrders

Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
Warp CUDA warning: Could not find or load the NVIDIA CUDA driver. Proceeding in CPU-only mode.
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
01 10GS_01_bbn                              -1.975    -2.184     0.209     9.577
02 10GS_02_bbn                              -0.429    -0.132    -0.297  -225.323
03 10GS_03_bbn                              -0.074     0.428    -0.502  -117.405
04 10GS_04_bbn                               2.450     4.504    -2.054   -45.597
05 10GS_05_bbn                             -11.915   -11.437    -0.478    -4.180
06 10GS_06_pro                              -5.781    -6.883     1.102    16.013
07 10GS_07_bbn                              -6.115    -6.112    -0.003    -0.056
08 10GS_08_bbn                             -13.645   -14.282     0.637     4.461
09 10GS_09_bbn                              -4.007    -4.063     0.056     1.385
10 10GS_10_bbn                              -4.425    -3.957    -0.468   -11.836
11 10GS_11_bbn                              -1.098    -0.762    -0.336   -44.093
12 10GS_12_tyr                              -7.845    -7.821    -0.024    -0.304
13 10GS_13_phe                              -5.019    -5.857     0.838    14.303
14 10GS_14_val                              -0.767    -1.308     0.541    41.356
15 10GS_15_arg                             -55.547   -53.819    -1.728    -3.211
16 10GS_16_val                              -0.745    -0.618    -0.127   -20.526
17 10GS_17_trp                             -18.643   -19.558     0.915     4.679
18 10GS_18_lys                             -84.993   -89.344     4.351     4.870
19 10GS_19_gln                             -30.121   -32.038     1.917     5.983
20 10GS_20_leu                              -1.378    -1.287    -0.091    -7.057
21 10GS_21_gln                             -10.093   -10.897     0.804     7.376
22 10GS_22_ser                             -10.747   -11.270     0.523     4.645
23 10GS_23_tyr                              -3.029    -1.617    -1.412   -87.345
24 10GS_24_asp                              21.481    19.608     1.873     9.551
25 10GS_25_asp                             -13.467   -14.741     1.274     8.645
26 2CET_01_bbn                              -0.372     0.231    -0.603  -261.029
27 2CET_02_bbn                              -1.607    -0.814    -0.793   -97.415
28 2CET_03_ala                              -1.573    -0.260    -1.313  -505.113
29 2CET_04_gln                             -10.430    -9.867    -0.563    -5.706
30 2CET_05_arg                              35.131    34.922     0.209     0.598
31 2CET_06_hie                              -1.727    -1.059    -0.668   -63.111
32 2CET_07_trp                              -4.300    -5.045     0.745    14.760
