        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
001-CA2 / 5NXG                            -204.486  -211.986     7.500     3.538
001-CA2 / 5NXI                            -203.120  -212.762     9.642     4.532
001-CA2 / 5NXO                            -199.356  -207.567     8.210     3.955
001-CA2 / 5NXP                            -214.672  -220.995     6.324     2.861
001-CA2 / 5NXV                            -201.285  -209.193     7.909     3.781
001-CA2 / 5NXW                            -199.180  -209.313    10.133     4.841
001-CA2 / 5NY1                            -203.229  -211.771     8.542     4.033
001-CA2 / 5NY3                            -202.311  -209.831     7.519     3.584
001-CA2 / 5NY6                            -208.480  -215.493     7.013     3.254
001-CA2 / 5NYA                            -196.443  -201.861     5.418     2.684
002-HIV-PR / 1HSG                         -136.526  -159.436    22.909    14.369
002-HIV-PR / 1HXW                         -138.177  -164.946    26.770    16.229
002-HIV-PR / 1IZH                         -156.883  -185.506    28.622    15.429
002-HIV-PR / 1T3R                         -118.282  -142.718    24.436    17.122
002-HIV-PR / 2Q54                         -123.843  -148.952    25.109    16.857
002-HIV-PR / 2Q55                         -135.329  -158.114    22.786    14.411
002-HIV-PR / 2Q5K                         -131.942  -154.373    22.431    14.530
002-HIV-PR / 3EKX                         -123.445  -147.017    23.572    16.034
002-HIV-PR / 3EL1                         -144.344  -172.163    27.818    16.158
002-HIV-PR / 3NU3                         -114.542  -134.550    20.008    14.870
002-HIV-PR / 3OXC                         -147.317  -168.252    20.935    12.443
002-HIV-PR / 5HVP                         -152.006  -177.938    25.933    14.574
002-HIV-PR / model13a                     -131.867  -156.858    24.991    15.932
002-HIV-PR / model13c                     -125.525  -149.031    23.506    15.773
002-HIV-PR / model13d                     -125.538  -150.288    24.750    16.468
002-HIV-PR / model16a                     -123.110  -148.081    24.971    16.863
002-HIV-PR / model16e                     -115.905  -141.468    25.563    18.070
002-HIV-PR / model16f                     -127.599  -150.523    22.924    15.230
002-HIV-PR / model22a                     -122.873  -147.097    24.224    16.468
002-HIV-PR / model22d                     -126.362  -151.568    25.206    16.630
002-HIV-PR / model23a                     -118.725  -140.381    21.656    15.427
002-HIV-PR / model25d                     -122.967  -147.422    24.455    16.588
003-CK2 / 1F0Q                             -32.351   -41.139     8.788    21.363
003-CK2 / 1J91                             -29.747   -38.947     9.200    23.622
003-CK2 / 1M2P                             -37.291   -45.809     8.517    18.593
003-CK2 / 1M2Q                             -40.520   -49.296     8.776    17.803
003-CK2 / 1M2R                             -38.760   -51.230    12.470    24.341
003-CK2 / 1ZOE                             -34.093   -45.791    11.698    25.547
003-CK2 / 1ZOG                             -31.738   -42.556    10.818    25.421
003-CK2 / 1ZOH                             -41.073   -51.919    10.846    20.891
003-CK2 / 2OXD                             -28.280   -38.405    10.125    26.363
003-CK2 / 2OXX                             -31.815   -42.194    10.379    24.598
003-CK2 / 2OXY                             -26.314   -36.497    10.183    27.900
003-CK2 / 3KXG                             -31.507   -42.526    11.019    25.912
003-CK2 / 3KXH                            -120.576  -134.643    14.068    10.448
003-CK2 / 3KXM                             -44.298   -58.057    13.759    23.699
003-CK2 / 3KXN                             -40.138   -35.022    -5.116   -14.608
003-CK2 / 3PVG                             -63.748   -75.017    11.269    15.021
004-AR / 1US0                             -103.907  -116.681    12.774    10.947
004-AR / 2IKG                             -121.975  -135.387    13.412     9.907
004-AR / 2IKH                             -109.648  -121.544    11.895     9.787
004-AR / 2IKI                             -108.857  -122.467    13.610    11.113
004-AR / 2IKJ                             -112.463  -125.206    12.743    10.177
004-AR / 4LAU                             -655.520  -123.618  -531.902  -430.279
004-AR / 4LAZ                             -113.583  -129.806    16.223    12.498
004-AR / 4LB3                             -112.657  -130.783    18.127    13.860
004-AR / 4LB4                             -108.782  -126.052    17.270    13.701
004-AR / 4LBR                             -113.543  -133.005    19.462    14.632
004-AR / 4LBS                             -117.003  -126.029     9.026     7.162
004-AR / 4QXI                             -118.385  -134.458    16.073    11.954
004-AR / 4XZH                             -226.042  -127.370   -98.673   -77.469
004-AR / 4XZI                             -114.189  -124.183     9.994     8.048
005-Cath-D / 6QBG                         -124.296  -141.732    17.436    12.302
005-Cath-D / 6QBH                         -119.032  -134.751    15.720    11.666
005-Cath-D / 6QCB                         -120.952  -138.797    17.845    12.857
005-Cath-D / model08                      -119.417  -134.845    15.428    11.441
005-Cath-D / model22                      -122.525  -139.915    17.391    12.429
005-Cath-D / model24                      -115.589  -133.666    18.077    13.524
005-Cath-D / model25                      -128.683  -149.974    21.290    14.196
005-Cath-D / model31                      -119.691  -136.938    17.247    12.595
005-Cath-D / model35                      -121.416  -137.815    16.398    11.899
005-Cath-D / model36                       -96.874  -112.987    16.113    14.261
006-BACE1 / 5QCO                           -34.726   -52.470    17.744    33.817
006-BACE1 / 5QCP                           -34.133   -53.010    18.878    35.612
006-BACE1 / 5QCR                          -117.150  -132.453    15.303    11.553
006-BACE1 / 5QCT                          -121.404  -138.476    17.072    12.328
006-BACE1 / 5QCU                          -117.914  -134.121    16.207    12.084
006-BACE1 / 5QCV                           -27.500   -43.669    16.169    37.026
006-BACE1 / 5QCX                           -30.915   -47.485    16.570    34.895
006-BACE1 / 5QCY                           -46.779   -63.325    16.546    26.129
006-BACE1 / 5QCZ                           -28.110   -42.338    14.228    33.605
006-BACE1 / 5QD0                           -36.350   -51.837    15.487    29.876
006-BACE1 / 5QD1                           -27.782   -45.141    17.359    38.455
006-BACE1 / 5QD2                           -27.236   -47.054    19.818    42.117
006-BACE1 / 5QD3                           -27.391   -45.228    17.837    39.438
006-BACE1 / 5QD5                           -32.291   -48.822    16.532    33.861
006-BACE1 / 5QD9                           -35.895   -56.152    20.257    36.075
006-BACE1 / 5QDA                           -29.964   -46.774    16.811    35.940
007-JAK1 / 4E4L                            -65.755   -85.629    19.874    23.210
007-JAK1 / 4E4N                            -73.250   -90.019    16.769    18.629
007-JAK1 / 4E5W                            -97.372  -112.641    15.270    13.556
007-JAK1 / 4EHZ                           -132.252  -146.744    14.492     9.876
007-JAK1 / 4EI4                            -66.462   -81.834    15.373    18.785
007-JAK1 / 4FK6                            -87.034  -104.602    17.569    16.796
007-JAK1 / 4I5C                            -71.968   -88.563    16.595    18.738
007-JAK1 / 4IVB                            -70.650   -87.282    16.632    19.056
007-JAK1 / 4IVC                            -85.363  -104.103    18.740    18.001
007-JAK1 / 4IVD                            -88.054  -107.100    19.046    17.784
007-JAK1 / 4K6Z                            -78.453   -92.596    14.143    15.274
007-JAK1 / 4K77                            -52.332   -64.250    11.917    18.548
008-Trypsin / 1K1I                        -184.140  -199.042    14.901     7.487
008-Trypsin / 1K1J                        -182.003  -197.068    15.065     7.644
008-Trypsin / 1K1L                        -179.766  -194.468    14.702     7.560
008-Trypsin / 1K1M                        -179.211  -194.773    15.562     7.990
008-Trypsin / 1K1N                        -129.065  -146.330    17.264    11.798
008-Trypsin / 2ZHD                        -207.967  -223.671    15.703     7.021
008-Trypsin / 2ZQ2                        -206.665  -222.638    15.973     7.174
008-Trypsin / 3LJJ                        -207.277  -220.327    13.050     5.923
008-Trypsin / 3LJO                        -203.549  -218.065    14.517     6.657
008-Trypsin / 5MNG                        -135.345  -140.649     5.303     3.771
008-Trypsin / 5MO2                        -127.067  -133.110     6.043     4.540
008-Trypsin / 6SY3                        -170.843  -188.975    18.132     9.595
008-Trypsin / 6T0M                        -206.932  -221.793    14.861     6.700
008-Trypsin / 6T0P                        -207.555  -222.309    14.754     6.637
008-Trypsin / 6T5W                        -188.168  -203.253    15.085     7.422
009-CDK2 / 3QQK                            -49.372   -61.680    12.308    19.954
009-CDK2 / 3QTQ                            -58.073   -72.420    14.347    19.811
009-CDK2 / 3QTR                            -51.797   -68.080    16.283    23.917
009-CDK2 / 3QTS                            -58.114   -74.760    16.646    22.266
009-CDK2 / 3QTU                           -115.761  -136.080    20.319    14.931
009-CDK2 / 3QTW                            -61.509   -79.690    18.181    22.814
009-CDK2 / 3QTX                            -89.983  -110.260    20.277    18.391
009-CDK2 / 3QTZ                            -80.721  -101.400    20.679    20.394
009-CDK2 / 3QU0                            -86.713  -108.200    21.487    19.858
009-CDK2 / 3QXP                            -93.122  -112.610    19.488    17.306
009-CDK2 / 3R8U                            -55.601   -69.770    14.169    20.307
009-CDK2 / 3R8V                            -50.576   -64.550    13.974    21.649
009-CDK2 / 3R8Z                            -43.770   -55.730    11.960    21.460
009-CDK2 / 3R9D                            -90.684  -112.600    21.916    19.464
009-CDK2 / 3R9N                            -52.735   -68.240    15.505    22.721
009-CDK2 / 3RAH                            -57.236   -74.470    17.234    23.142
009-CDK2 / 3RAK                            -77.131   -97.000    19.869    20.484
009-CDK2 / 3RAL                            -85.786  -105.740    19.954    18.870
009-CDK2 / 3RJC                            -51.627   -67.770    16.143    23.821
009-CDK2 / 3RK5                           -121.190  -146.140    24.950    17.073
009-CDK2 / 3RK7                            -73.101   -92.550    19.449    21.015
009-CDK2 / 3RK9                            -57.725   -72.320    14.595    20.181
009-CDK2 / 3RKB                            -57.604   -72.210    14.606    20.227
009-CDK2 / 3RMF                            -81.266  -103.770    22.504    21.686
009-CDK2 / 3RNI                            -75.614   -95.570    19.956    20.881
009-CDK2 / 3RPV                            -84.499  -105.500    21.001    19.906
009-CDK2 / 3RPY                            -68.150   -84.740    16.590    19.577
009-CDK2 / 3S00                            -51.542   -64.690    13.148    20.324
009-CDK2 / 3S0O                            -51.008   -64.210    13.202    20.561
009-CDK2 / 3S1H                            -82.223  -103.980    21.757    20.924
009-CDK2 / 3SQQ                            -80.924  -101.630    20.706    20.374
010-MMP12 / 3EHX                          -112.135  -128.764    16.629    12.914
010-MMP12 / 3EHY                          -100.666  -112.893    12.227    10.831
010-MMP12 / 3F15                          -113.973  -133.428    19.455    14.581
010-MMP12 / 3F16                          -113.835  -129.731    15.895    12.252
010-MMP12 / 3F17                          -115.093  -132.057    16.964    12.846
010-MMP12 / 3F18                          -116.914  -133.044    16.130    12.124
010-MMP12 / 3F19                          -105.498  -119.632    14.134    11.815
010-MMP12 / 3F1A                          -104.736  -118.100    13.364    11.316
010-MMP12 / 3LK8                          -108.093  -123.865    15.772    12.733
010-MMP12 / 3N2U                          -137.107  -154.459    17.352    11.234
010-MMP12 / 3N2V                          -113.597  -131.516    17.918    13.624
010-MMP12 / 3NX7                          -109.151  -126.899    17.748    13.986
010-MMP12 / 3RTS                          -111.410  -125.882    14.472    11.496
010-MMP12 / 3RTT                          -110.441  -126.266    15.825    12.533
010-MMP12 / 4GUY                          -120.223  -134.390    14.167    10.542
010-MMP12 / 5LAB                          -107.967  -126.075    18.108    14.363
010-MMP12 / 6RD0                           -57.642   -72.888    15.246    20.916
010-MMP12 / 6RLY                           -44.029   -60.709    16.680    27.475
==========================================================================================
RMSE               45.512   kcal/mol
