        _______  
       /\______\ 
      / /      / 
     / / Cuby /   Dataset calculation
     \/______/   
                 
Selected 136 out of 164 data set entries
==========================================================================================
name                                             E      Eref     error  error(%)
------------------------------------------------------------------------------------------
002-HIV-PR / 1HSG                         -121.637  -159.436    37.798    23.707
002-HIV-PR / 1HXW                         -122.232  -164.946    42.714    25.896
002-HIV-PR / 1IZH                         -140.720  -185.506    44.786    24.143
002-HIV-PR / 1T3R                         -114.385  -142.718    28.333    19.852
002-HIV-PR / 2Q54                         -110.953  -148.952    37.999    25.511
002-HIV-PR / 2Q55                         -120.063  -158.114    38.051    24.066
002-HIV-PR / 2Q5K                         -115.220  -154.373    39.153    25.362
002-HIV-PR / 3EKX                         -110.570  -147.017    36.447    24.791
002-HIV-PR / 3EL1                         -127.663  -172.163    44.500    25.848
002-HIV-PR / 3NU3                         -109.274  -134.550    25.275    18.785
002-HIV-PR / 3OXC                         -134.129  -168.252    34.123    20.281
002-HIV-PR / 5HVP                         -140.322  -177.938    37.616    21.140
002-HIV-PR / model13a                     -118.083  -156.858    38.775    24.720
002-HIV-PR / model13c                     -112.352  -149.031    36.679    24.612
002-HIV-PR / model13d                     -112.289  -150.288    37.999    25.284
002-HIV-PR / model16a                     -110.541  -148.081    37.540    25.351
002-HIV-PR / model16e                     -103.716  -141.468    37.751    26.685
002-HIV-PR / model16f                     -114.842  -150.523    35.681    23.705
002-HIV-PR / model22a                     -108.389  -147.097    38.708    26.314
002-HIV-PR / model22d                     -111.204  -151.568    40.365    26.631
002-HIV-PR / model23a                     -106.751  -140.381    33.630    23.956
002-HIV-PR / model25d                     -109.343  -147.422    38.079    25.830
003-CK2 / 1F0Q                             -31.323   -41.139     9.816    23.861
003-CK2 / 1J91                             -35.284   -38.947     3.663     9.405
003-CK2 / 1M2P                             -45.163   -45.809     0.645     1.409
003-CK2 / 1M2Q                             -42.544   -49.296     6.752    13.697
003-CK2 / 1M2R                             -36.053   -51.230    15.176    29.624
003-CK2 / 1ZOE                             -30.521   -45.791    15.270    33.347
003-CK2 / 1ZOG                             -30.925   -42.556    11.631    27.330
003-CK2 / 1ZOH                             -37.702   -51.919    14.217    27.383
003-CK2 / 2OXD                             -29.278   -38.405     9.127    23.766
003-CK2 / 2OXX                             -35.168   -42.194     7.026    16.652
003-CK2 / 2OXY                             -27.082   -36.497     9.415    25.796
003-CK2 / 3KXG                             -35.435   -42.526     7.091    16.675
003-CK2 / 3KXH                            -108.782  -134.643    25.862    19.207
003-CK2 / 3KXM                             -42.965   -58.057    15.092    25.996
003-CK2 / 3KXN                             -41.275   -35.022    -6.253   -17.855
003-CK2 / 3PVG                             -61.256   -75.017    13.760    18.343
004-AR / 1US0                              -81.495  -116.681    35.185    30.155
004-AR / 2IKG                              -97.936  -135.387    37.450    27.662
004-AR / 2IKH                              -90.650  -121.544    30.894    25.418
004-AR / 2IKI                              -87.482  -122.467    34.985    28.567
004-AR / 2IKJ                              -97.061  -125.206    28.145    22.479
004-AR / 4LAU                              -88.270  -123.618    35.348    28.594
004-AR / 4LAZ                              -89.219  -129.806    40.587    31.267
004-AR / 4LB3                              -90.478  -130.783    40.306    30.819
004-AR / 4LB4                              -90.137  -126.052    35.915    28.492
004-AR / 4LBR                              -92.231  -133.005    40.774    30.656
004-AR / 4LBS                              -90.247  -126.029    35.782    28.392
004-AR / 4QXI                              -98.089  -134.458    36.369    27.049
004-AR / 4XZH                              -97.272  -127.370    30.098    23.630
004-AR / 4XZI                              -92.858  -124.183    31.325    25.225
005-Cath-D / 6QBG                         -112.447  -141.732    29.285    20.662
005-Cath-D / 6QBH                         -108.761  -134.751    25.990    19.288
005-Cath-D / 6QCB                         -110.369  -138.797    28.428    20.481
005-Cath-D / model08                      -109.001  -134.845    25.843    19.165
005-Cath-D / model22                      -111.090  -139.915    28.825    20.602
005-Cath-D / model24                      -107.250  -133.666    26.416    19.763
005-Cath-D / model25                      -117.884  -149.974    32.090    21.397
005-Cath-D / model31                      -110.572  -136.938    26.366    19.254
005-Cath-D / model35                      -112.586  -137.815    25.229    18.306
005-Cath-D / model36                       -87.042  -112.987    25.945    22.963
006-BACE1 / 5QCO                           -25.528   -52.470    26.941    51.346
006-BACE1 / 5QCP                           -25.412   -53.010    27.599    52.063
006-BACE1 / 5QCR                          -103.828  -132.453    28.625    21.611
006-BACE1 / 5QCT                          -111.133  -138.476    27.343    19.746
006-BACE1 / 5QCU                          -113.141  -134.121    20.980    15.643
006-BACE1 / 5QCV                           -19.051   -43.669    24.617    56.373
006-BACE1 / 5QCX                           -22.985   -47.485    24.500    51.595
006-BACE1 / 5QCY                           -36.253   -63.325    27.072    42.751
006-BACE1 / 5QCZ                           -19.568   -42.338    22.770    53.782
006-BACE1 / 5QD0                           -27.367   -51.837    24.470    47.206
006-BACE1 / 5QD1                           -18.415   -45.141    26.726    59.207
006-BACE1 / 5QD2                           -18.543   -47.054    28.511    60.592
006-BACE1 / 5QD3                           -17.231   -45.228    27.997    61.902
006-BACE1 / 5QD5                           -24.767   -48.822    24.055    49.272
006-BACE1 / 5QD9                           -27.181   -56.152    28.971    51.593
006-BACE1 / 5QDA                           -19.968   -46.774    26.806    57.309
007-JAK1 / 4E4L                            -68.801   -85.629    16.828    19.652
007-JAK1 / 4E4N                            -63.426   -90.019    26.594    29.542
007-JAK1 / 4E5W                            -93.745  -112.641    18.896    16.775
007-JAK1 / 4EHZ                           -131.169  -146.744    15.575    10.614
